# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   6.427024e-01   9.900990e-03   5.696668e+00   0.000000e+00   3.120460e-01
      1   6.577384e-01   1.030088e-02   5.581878e+00   6.040869e-10   3.120460e-01
      2   6.730836e-01   1.071692e-02   5.469515e+00   1.134724e-09   3.120460e-01
      3   6.887440e-01   1.114977e-02   5.359523e+00   1.627431e-09   3.120460e-01
      4   7.047258e-01   1.160010e-02   5.251844e+00   2.086735e-09   3.120460e-01
      5   7.210353e-01   1.206863e-02   5.146426e+00   2.516389e-09   3.120460e-01
      6   7.376789e-01   1.255609e-02   5.043215e+00   2.919776e-09   3.120460e-01
      7   7.546631e-01   1.306324e-02   4.942160e+00   3.299963e-09   3.120460e-01
      8   7.719946e-01   1.359088e-02   4.843211e+00   3.659738e-09   3.120460e-01
      9   7.896802e-01   1.413984e-02   4.746320e+00   4.001638e-09   3.120460e-01
     10   8.077268e-01   1.471097e-02   4.651440e+00   4.327979e-09   3.120460e-01
     11   8.261415e-01   1.530518e-02   4.558526e+00   4.640875e-09   3.120460e-01
     12   8.449316e-01   1.592340e-02   4.467532e+00   4.942262e-09   3.120460e-01
     13   8.641044e-01   1.656659e-02   4.378415e+00   5.233914e-09   3.120460e-01
     14   8.836674e-01   1.723576e-02   4.291134e+00   5.517461e-09   3.120460e-01
     15   9.036283e-01   1.793197e-02   4.205648e+00   5.794403e-09   3.120460e-01
     16   9.239949e-01   1.865631e-02   4.121916e+00   6.066123e-09   3.120460e-01
     17   9.447753e-01   1.940991e-02   4.039901e+00   6.333902e-09   3.120460e-01
     18   9.659776e-01   2.019396e-02   3.959563e+00   6.598928e-09   3.120460e-01
     19   9.876100e-01   2.100968e-02   3.880868e+00   6.862305e-09   3.120460e-01
     20   1.009681e+00   2.185835e-02   3.803777e+00   7.125063e-09   3.120460e-01
     21   1.032200e+00   2.274132e-02   3.728258e+00   7.388169e-09   3.120459e-01
     22   1.055174e+00   2.365995e-02   3.654275e+00   7.652531e-09   3.120459e-01
     23   1.078614e+00   2.461570e-02   3.581796e+00   7.919004e-09   3.120459e-01
     24   1.102528e+00   2.561006e-02   3.510788e+00   8.188400e-09   3.120459e-01
     25   1.126925e+00   2.664460e-02   3.441220e+00   8.461493e-09   3.120459e-01
     26   1.151816e+00   2.772092e-02   3.373061e+00   8.739021e-09   3.120459e-01
     27   1.177210e+00   2.884074e-02   3.306281e+00   9.021693e-09   3.120459e-01
     28   1.203117e+00   3.000579e-02   3.240851e+00   9.310194e-09   3.120459e-01
     29   1.229547e+00   3.121792e-02   3.176743e+00   9.605188e-09   3.120459e-01
     30   1.256510e+00   3.247901e-02   3.113928e+00   9.907320e-09   3.120459e-01
     31   1.284017e+00   3.379105e-02   3.052381e+00   1.021722e-08   3.120459e-01
     32   1.312079e+00   3.515610e-02   2.992073e+00   1.053552e-08   3.120459e-01
     33   1.340706e+00   3.657630e-02   2.932981e+00   1.086283e-08   3.120459e-01
     34   1.369910e+00   3.805388e-02   2.875077e+00   1.119975e-08   3.120459e-01
     35   1.399702e+00   3.959116e-02   2.818339e+00   1.154690e-08   3.120459e-01
     36   1.430094e+00   4.119054e-02   2.762742e+00   1.190487e-08   3.120459e-01
     37   1.461098e+00   4.285454e-02   2.708262e+00   1.227428e-08   3.120458e-01
     38   1.492725e+00   4.458577e-02   2.654877e+00   1.265573e-08   3.120458e-01
     39   1.524988e+00   4.638694e-02   2.602565e+00   1.304985e-08   3.120458e-01
     40   1.557900e+00   4.826089e-02   2.551304e+00   1.345726e-08   3.120458e-01
     41   1.591473e+00   5.021054e-02   2.501073e+00   1.387858e-08   3.120458e-01
     42   1.625720e+00   5.223897e-02   2.451852e+00   1.431447e-08   3.120458e-01
     43   1.660655e+00   5.434935e-02   2.403620e+00   1.476558e-08   3.120458e-01
     44   1.696291e+00   5.654500e-02   2.356358e+00   1.523258e-08   3.120458e-01
     45   1.732642e+00   5.882936e-02   2.310046e+00   1.571615e-08   3.120458e-01
     46   1.769721e+00   6.120602e-02   2.264667e+00   1.621700e-08   3.120458e-01
     47   1.807543e+00   6.367871e-02   2.220202e+00   1.673584e-08   3.120457e-01
     48   1.846123e+00   6.625131e-02   2.176634e+00   1.727341e-08   3.120457e-01
     49   1.885475e+00   6.892785e-02   2.133946e+00   1.783046e-08   3.120457e-01
     50   1.925614e+00   7.171254e-02   2.092121e+00   1.840778e-08   3.120457e-01
     51   1.966556e+00   7.460976e-02   2.051142e+00   1.900615e-08   3.120457e-01
     52   2.008316e+00   7.762404e-02   2.010996e+00   1.962641e-08   3.120457e-01
     53   2.050909e+00   8.076013e-02   1.971665e+00   2.026939e-08   3.120457e-01
     54   2.094352e+00   8.402295e-02   1.933136e+00   2.093597e-08   3.120456e-01
     55   2.138661e+00   8.741762e-02   1.895394e+00   2.162702e-08   3.120456e-01
     56   2.183852e+00   9.094948e-02   1.858425e+00   2.234348e-08   3.120456e-01
