# power spectrum of phi_prime/H (dimensionless)
# redshift z=88.687977
# k              Pk             sigma(k)       sigma(Pk)      count
  4.487990e-03   3.799150e-12   0.000000e+00   1.531735e-12   6
  6.346976e-03   1.329192e-12   0.000000e+00   2.654333e-13   12
  7.773426e-03   5.388678e-13   8.514949e-11   1.072394e-13   8
  8.975979e-03   1.259242e-12   0.000000e+00   1.358454e-13   6
  1.003545e-02   8.119057e-13   1.605594e-10   2.586951e-13   24
  1.099328e-02   1.219508e-12   1.605594e-10   2.033469e-13   24
  1.269395e-02   5.784732e-13   0.000000e+00   2.605811e-13   12
  1.346397e-02   6.467300e-13   1.816523e-10   1.241249e-13   30
  1.419227e-02   7.121200e-13   0.000000e+00   1.577069e-13   24
  1.488498e-02   6.266525e-13   2.780971e-10   1.532584e-13   24
  1.554685e-02   7.242295e-13   1.702990e-10   1.493119e-13   8
  1.618168e-02   5.634691e-13   2.270653e-10   6.804755e-14   24
  1.679252e-02   5.324500e-13   0.000000e+00   7.398344e-14   48
  1.795196e-02   5.540233e-13   0.000000e+00   2.427241e-13   6
  1.850445e-02   5.103677e-13   2.270653e-10   7.139867e-14   48
  1.904093e-02   4.612380e-13   2.140792e-10   4.697322e-14   36
  1.956269e-02   7.421332e-13   2.270653e-10   1.525635e-13   24
  2.007090e-02   4.091716e-13   3.211188e-10   7.370139e-14   24
  2.056655e-02   3.765232e-13   0.000000e+00   5.281953e-14   48
  2.105054e-02   6.882548e-13   3.211188e-10   9.759408e-14   24
  2.198657e-02   4.868723e-13   3.211188e-10   7.864992e-14   24
  2.243995e-02   3.487632e-13   0.000000e+00   5.662732e-14   30
  2.288435e-02   3.421794e-13   0.000000e+00   3.957082e-14   72
  2.332028e-02   3.027166e-13   3.405980e-10   5.837477e-14   32
  2.416856e-02   4.913751e-13   0.000000e+00   5.845104e-14   72
  2.458173e-02   2.609971e-13   0.000000e+00   3.751436e-14   48
  2.538790e-02   1.718317e-13   0.000000e+00   5.171806e-14   12
  2.597539e-02   3.131431e-13   1.938570e-04   3.001718e-14   96
  2.655130e-02   3.923278e-13   3.211188e-10   4.783749e-14   48
  2.692794e-02   4.844589e-13   3.633045e-10   8.851747e-14   30
  2.757421e-02   3.676838e-13   1.586779e-04   3.204870e-14   96
  2.838454e-02   2.166860e-13   0.000000e+00   4.098926e-14   24
  2.885327e-02   3.921015e-13   1.642099e-04   3.395999e-14   144
  2.942972e-02   2.987427e-13   5.561942e-10   7.504079e-14   24
  3.002225e-02   4.164159e-13   1.456630e-04   4.987970e-14   96
  3.043903e-02   3.204304e-13   0.000000e+00   4.959815e-14   48
  3.137435e-02   4.203106e-13   1.080207e-04   4.476997e-14   62
  3.184971e-02   3.320980e-13   1.519035e-04   4.651589e-14   132
  3.236335e-02   2.086338e-13   4.541306e-10   3.871469e-14   24
  3.284837e-02   3.214282e-13   1.518246e-04   2.878528e-14   168
  3.373431e-02   4.354631e-13   1.492698e-04   3.749916e-14   96
  3.439955e-02   2.625901e-13   1.270423e-04   2.486001e-14   96
  3.521583e-02   3.152701e-13   1.416056e-04   2.619367e-14   168
  3.590392e-02   2.095633e-13   0.000000e+00   9.467443e-14   6
  3.618333e-02   3.233304e-13   0.000000e+00   3.048496e-14   96
  3.651563e-02   3.096963e-13   1.100713e-04   3.071715e-14   120
  3.718966e-02   2.365907e-13   1.278125e-04   2.177862e-14   144
  3.754921e-02   3.889724e-13   0.000000e+00   5.096063e-14   48
  3.823245e-02   2.633060e-13   1.304211e-04   3.363333e-14   84
  3.860715e-02   2.991050e-13   8.899106e-10   2.874914e-14   120
  3.894461e-02   2.621228e-13   1.183479e-04   3.028414e-14   80
  3.946692e-02   2.485210e-13   1.201620e-04   1.942332e-14   144
  4.014180e-02   2.309533e-13   6.422377e-10   4.244967e-14   24
  4.047145e-02   2.935243e-13   1.159510e-04   2.599618e-14   150
  4.098576e-02   2.766748e-13   1.203057e-04   2.250984e-14   120
  4.155056e-02   2.236487e-13   1.096333e-04   1.947207e-14   168
  4.210107e-02   5.602250e-13   6.422377e-10   9.782880e-14   24
  4.244743e-02   2.451938e-13   1.181082e-04   1.603339e-14   264
  4.281269e-02   1.183989e-13   6.422377e-10   1.625709e-14   48
  4.343532e-02   2.552241e-13   1.093985e-04   2.388463e-14   144
  4.412543e-02   3.798873e-13   1.076845e-04   5.450957e-14   72
  4.451927e-02   2.556621e-13   1.107671e-04   1.833303e-14   180
  4.506982e-02   2.712726e-13   8.025835e-05   2.436367e-14   198
  4.532647e-02   1.982324e-13   0.000000e+00   2.267913e-14   48
  4.589413e-02   1.948717e-13   1.086319e-04   1.706946e-14   168
  4.631540e-02   2.614368e-13   1.087222e-04   2.325497e-14   144
  4.695270e-02   2.416137e-13   1.527607e-04   1.330280e-14   248
  4.781330e-02   1.973999e-13   1.053161e-04   1.471182e-14   192
  4.839932e-02   2.539870e-13   1.626762e-04   1.797415e-14   240
  4.875204e-02   2.464197e-13   0.000000e+00   2.738298e-14   72
  4.929001e-02   2.659396e-13   9.927197e-05   2.356131e-14   126
  4.962939e-02   3.118867e-13   9.159181e-05   2.986069e-14   168
  5.027740e-02   2.511826e-13   1.001546e-04   1.694667e-14   288
  5.095853e-02   2.566864e-13   5.274950e-05   2.165646e-14   156
  5.131126e-02   1.978546e-13   8.873998e-05   2.095954e-14   168
  5.184617e-02   2.372469e-13   1.521290e-04   1.462781e-14   264
  5.233850e-02   3.112445e-13   0.000000e+00   4.418739e-14   48
  5.270435e-02   2.422874e-13   1.514052e-04   1.821943e-14   264
  5.322882e-02   2.103131e-13   8.924381e-05   1.785695e-14   144
  5.362492e-02   3.306458e-13   1.825884e-04   4.057013e-14   78
  5.420192e-02   1.946208e-13   1.186900e-04   1.137469e-14   336
