# power spectrum of zeta (dimensionless)
# redshift z=88.687977
# k              Pk             sigma(k)       sigma(Pk)      count
  4.487990e-03   3.173712e-21   0.000000e+00   1.291484e-21   6
  6.346976e-03   2.227070e-21   0.000000e+00   2.228261e-22   12
  7.773426e-03   9.046418e-21   8.514949e-11   3.000928e-21   8
  8.975979e-03   7.168408e-20   0.000000e+00   2.133563e-20   6
  1.003545e-02   1.287493e-20   1.605594e-10   2.745279e-21   24
  1.099328e-02   1.821609e-20   1.605594e-10   2.990206e-21   24
  1.269395e-02   3.190594e-20   0.000000e+00   4.114830e-21   12
  1.346397e-02   4.492199e-20   1.816523e-10   1.424436e-20   30
  1.419227e-02   2.410258e-20   0.000000e+00   4.912445e-21   24
  1.488498e-02   3.416613e-20   2.780971e-10   4.114552e-21   24
  1.554685e-02   6.011513e-20   1.702990e-10   1.430263e-20   8
  1.618168e-02   4.741484e-20   2.270653e-10   1.014723e-20   24
  1.679252e-02   5.414885e-20   0.000000e+00   5.616528e-21   48
  1.795196e-02   1.396703e-18   0.000000e+00   3.975552e-19   6
  1.850445e-02   4.881261e-20   2.270653e-10   6.331459e-21   48
  1.904093e-02   6.072008e-20   2.140792e-10   6.582347e-21   36
  1.956269e-02   7.955873e-20   2.270653e-10   1.590214e-20   24
  2.007090e-02   7.655469e-20   3.211188e-10   1.314298e-20   24
  2.056655e-02   8.638931e-20   0.000000e+00   8.081685e-21   48
  2.105054e-02   1.006287e-19   3.211188e-10   1.374044e-20   24
  2.198657e-02   8.440331e-20   3.211188e-10   1.828623e-20   24
  2.243995e-02   1.036577e-19   0.000000e+00   3.256314e-20   30
  2.288435e-02   1.065495e-19   0.000000e+00   1.118976e-20   72
  2.332028e-02   7.748678e-20   3.405980e-10   1.408781e-20   32
  2.416856e-02   8.660270e-20   0.000000e+00   9.412465e-21   72
  2.458173e-02   8.240251e-20   0.000000e+00   1.467158e-20   48
  2.538790e-02   1.017077e-19   0.000000e+00   1.992915e-20   12
  2.597539e-02   9.947435e-20   1.938570e-04   1.050471e-20   96
  2.655130e-02   1.313974e-19   3.211188e-10   1.704733e-20   48
  2.692794e-02   2.649632e-19   3.633045e-10   1.070249e-19   30
  2.757421e-02   1.160636e-19   1.586779e-04   1.154254e-20   96
  2.838454e-02   1.072817e-19   0.000000e+00   1.386685e-20   24
  2.885327e-02   1.244108e-19   1.642099e-04   8.932116e-21   144
  2.942972e-02   1.154708e-19   5.561942e-10   1.702041e-20   24
  3.002225e-02   9.286602e-20   1.456630e-04   9.354519e-21   96
  3.043903e-02   1.145069e-19   0.000000e+00   1.618490e-20   48
  3.137435e-02   2.483330e-19   1.080207e-04   7.691976e-20   62
  3.184971e-02   1.477839e-19   1.519035e-04   1.222020e-20   132
  3.236335e-02   9.218127e-20   4.541306e-10   1.854896e-20   24
  3.284837e-02   1.416995e-19   1.518246e-04   9.066742e-21   168
  3.373431e-02   1.324148e-19   1.492698e-04   1.267630e-20   96
  3.439955e-02   1.268007e-19   1.270423e-04   1.157418e-20   96
  3.521583e-02   1.178165e-19   1.416056e-04   1.028274e-20   168
  3.590392e-02   1.396335e-17   0.000000e+00   5.348524e-18   6
  3.618333e-02   1.408684e-19   0.000000e+00   1.305042e-20   96
