# power spectrum of delta
# redshift z=48.519767
# k              Pk             sigma(k)       sigma(Pk)      count
  4.487990e-03   4.078920e-08   0.000000e+00   1.644145e-08   6
  6.346976e-03   7.888750e-08   0.000000e+00   1.574697e-08   12
  7.773426e-03   1.250128e-07   8.514949e-11   2.545171e-08   8
  8.975979e-03   7.161490e-07   0.000000e+00   7.705746e-08   6
  1.003545e-02   7.630381e-07   1.605594e-10   2.432452e-07   24
  1.099328e-02   1.549186e-06   1.605594e-10   2.610261e-07   24
  1.269395e-02   1.205936e-06   0.000000e+00   5.427510e-07   12
  1.346397e-02   1.760245e-06   1.816523e-10   3.239707e-07   30
  1.419227e-02   2.708207e-06   0.000000e+00   5.968094e-07   24
  1.488498e-02   2.972868e-06   2.780971e-10   7.370486e-07   24
  1.554685e-02   4.105740e-06   1.702990e-10   8.321557e-07   8
  1.618168e-02   4.069008e-06   2.270653e-10   5.057010e-07   24
  1.679252e-02   4.419738e-06   0.000000e+00   6.211683e-07   48
  1.795196e-02   6.803300e-06   0.000000e+00   2.991518e-06   6
  1.850445e-02   6.108778e-06   2.270653e-10   8.574917e-07   48
  1.904093e-02   6.333394e-06   2.140792e-10   6.591816e-07   36
  1.956269e-02   1.008914e-05   2.270653e-10   2.110258e-06   24
  2.007090e-02   6.551220e-06   3.211188e-10   1.127080e-06   24
  2.056655e-02   6.441209e-06   0.000000e+00   8.755599e-07   48
  2.105054e-02   1.089381e-05   3.211188e-10   1.550740e-06   24
  2.198657e-02   1.027439e-05   3.211188e-10   1.615718e-06   24
  2.243995e-02   7.588581e-06   0.000000e+00   1.242164e-06   30
  2.288435e-02   8.744842e-06   0.000000e+00   9.646697e-07   72
  2.332028e-02   9.191239e-06   3.405980e-10   1.873063e-06   32
  2.416856e-02   1.399309e-05   0.000000e+00   1.621494e-06   72
  2.458173e-02   9.121580e-06   0.000000e+00   1.333935e-06   48
  2.538790e-02   5.461496e-06   0.000000e+00   1.624151e-06   12
  2.597539e-02   1.107639e-05   1.938570e-04   1.010624e-06   96
  2.655130e-02   1.501125e-05   3.211188e-10   1.894494e-06   48
  2.692794e-02   1.901095e-05   3.633045e-10   3.330707e-06   30
  2.757421e-02   1.892379e-05   1.586779e-04   1.771852e-06   96
  2.838454e-02   1.255411e-05   0.000000e+00   2.383263e-06   24
  2.885327e-02   1.870727e-05   1.642099e-04   1.506993e-06   144
  2.942972e-02   1.402652e-05   5.561942e-10   3.443725e-06   24
  3.002225e-02   2.251356e-05   1.456630e-04   2.579743e-06   96
  3.043903e-02   2.065803e-05   0.000000e+00   3.179923e-06   48
  3.137435e-02   2.819671e-05   1.080207e-04   3.194673e-06   62
  3.184971e-02   2.161911e-05   1.519035e-04   2.590466e-06   132
  3.236335e-02   1.506002e-05   4.541306e-10   2.684583e-06   24
  3.284837e-02   2.495994e-05   1.518246e-04   2.128694e-06   168
  3.373431e-02   3.170695e-05   1.492698e-04   2.617258e-06   96
  3.439955e-02   2.308668e-05   1.270423e-04   2.183578e-06   96
  3.521583e-02   2.617685e-05   1.416056e-04   2.160721e-06   168
  3.590392e-02   3.848255e-05   0.000000e+00   1.690065e-05   6
  3.618333e-02   3.202297e-05   0.000000e+00   3.111053e-06   96
  3.651563e-02   3.155854e-05   1.100713e-04   3.104935e-06   120
  3.718966e-02   2.690521e-05   1.278125e-04   2.127821e-06   144
  3.754921e-02   3.205535e-05   0.000000e+00   4.322910e-06   48
  3.823245e-02   3.034462e-05   1.304211e-04   3.254001e-06   84
  3.860715e-02   3.462104e-05   8.899106e-10   3.103759e-06   120
  3.894461e-02   2.749455e-05   1.183479e-04   3.141570e-06   80
  3.946692e-02   2.739895e-05   1.201620e-04   2.011205e-06   144
  4.014180e-02   3.664500e-05   6.422377e-10   6.799359e-06   24
  4.047145e-02   4.123065e-05   1.159510e-04   3.445072e-06   150
  4.098576e-02   3.866183e-05   1.203057e-04   2.813545e-06   120
  4.155056e-02   3.673764e-05   1.096333e-04   3.094681e-06   168
  4.210107e-02   5.679601e-05   6.422377e-10   9.491012e-06   24
  4.244743e-02   3.451553e-05   1.181082e-04   2.192279e-06   264
  4.281269e-02   2.838242e-05   6.422377e-10   3.978768e-06   48
  4.343532e-02   3.852896e-05   1.093985e-04   3.169057e-06   144
  4.412543e-02   4.967858e-05   1.076845e-04   6.068957e-06   72
  4.451927e-02   4.062645e-05   1.107671e-04   2.601073e-06   180
  4.506982e-02   4.465447e-05   8.025835e-05   3.329464e-06   198
  4.532647e-02   4.835194e-05   0.000000e+00   5.323562e-06   48
  4.589413e-02   4.057912e-05   1.086319e-04   3.062283e-06   168
  4.631540e-02   4.927846e-05   1.087222e-04   4.492439e-06   144
  4.695270e-02   4.837041e-05   1.527607e-04   2.535747e-06   248
  4.781330e-02   3.661681e-05   1.053161e-04   2.578098e-06   192
  4.839932e-02   4.975257e-05   1.626762e-04   3.250663e-06   240
  4.875204e-02   5.577699e-05   0.000000e+00   6.045493e-06   72
  4.929001e-02   6.000613e-05   9.927197e-05   5.248100e-06   126
  4.962939e-02   6.509007e-05   9.159181e-05   5.139124e-06   168
  5.027740e-02   6.387292e-05   1.001546e-04   3.557417e-06   288
  5.095853e-02   6.089731e-05   5.274950e-05   5.208756e-06   156
  5.131126e-02   5.340854e-05   8.873998e-05   4.645659e-06   168
  5.184617e-02   5.854858e-05   1.521290e-04   3.612929e-06   264
  5.233850e-02   5.614374e-05   0.000000e+00   6.889221e-06   48
  5.270435e-02   5.844796e-05   1.514052e-04   3.829996e-06   264
  5.322882e-02   6.188252e-05   8.924381e-05   5.149101e-06   144
  5.362492e-02   6.990572e-05   1.825884e-04   7.892088e-06   78
  5.420192e-02   5.943609e-05   1.186900e-04   3.301138e-06   336
  5.474604e-02   5.694538e-05   9.030373e-05   3.853707e-06   200
  5.510338e-02   5.671757e-05   1.768159e-04   4.297533e-06   192
  5.558581e-02   7.236073e-05   8.873069e-05   5.119398e-06   240
  5.602902e-02   7.947792e-05   1.778215e-04   5.518422e-06   168
  5.648434e-02   6.732624e-05   1.423690e-04   5.786763e-06   120
  5.703118e-02   7.675628e-05   1.112738e-04   4.071134e-06   324
  5.756179e-02   7.101607e-05   8.748012e-05   4.828845e-06   192
  5.792293e-02   8.112625e-05   1.568908e-04   5.861941e-06   168
  5.853721e-02   6.364149e-05   1.292197e-04   3.498935e-06   342
  5.909109e-02   8.996600e-05   1.040479e-04   4.618570e-06   336
  5.965251e-02   1.027353e-04   7.962394e-05   1.131488e-05   72
  6.003109e-02   8.390820e-05   1.273478e-04   5.576121e-06   288
  6.047058e-02   8.507039e-05   8.293768e-05   6.162208e-06   264
  6.108439e-02   7.826438e-05   1.090835e-04   4.245936e-06   384
  6.163419e-02   8.437702e-05   1.309286e-04   6.337870e-06   240
  6.186267e-02   8.903346e-05   0.000000e+00   1.086750e-05   48
  6.252352e-02   9.145582e-05   1.071736e-04   4.603049e-06   392
  6.302771e-02   8.664192e-05   1.176177e-04   4.919676e-06   294
  6.356985e-02   8.858945e-05   7.644534e-05   6.623721e-06   228
  6.392640e-02   1.065398e-04   1.160935e-04   6.944636e-06   216
  6.437004e-02   9.077703e-05   7.071608e-05   4.805595e-06   336
  6.491309e-02   9.888080e-05   8.402231e-05   5.630746e-06   360
  6.536140e-02   1.091942e-04   1.280140e-04   6.741751e-06   240
  6.582853e-02   1.034853e-04   1.514699e-04   7.316619e-06   168
  6.626426e-02   9.590162e-05   1.192252e-04   5.433536e-06   312
  6.678338e-02   9.864948e-05   7.461529e-05   5.001294e-06   336
  6.734419e-02   1.090781e-04   1.017891e-04   6.638738e-06   294
