# power spectrum of phi
# redshift z=29.789116
# k              Pk             sigma(k)       sigma(Pk)      count
  4.487990e-03   4.204321e-10   0.000000e+00   1.694707e-10   6
  6.346976e-03   2.521424e-10   0.000000e+00   5.032870e-11   12
  7.773426e-03   1.917323e-10   8.514949e-11   3.903356e-11   8
  8.975979e-03   6.441381e-10   0.000000e+00   6.930063e-11   6
  1.003545e-02   4.496083e-10   1.605594e-10   1.433229e-10   24
  1.099328e-02   6.437865e-10   1.605594e-10   1.084879e-10   24
  1.269395e-02   2.876575e-10   0.000000e+00   1.294373e-10   12
  1.346397e-02   3.338482e-10   1.816523e-10   6.139533e-11   30
  1.419227e-02   4.194324e-10   0.000000e+00   9.242741e-11   24
  1.488498e-02   3.817428e-10   2.780971e-10   9.466587e-11   24
  1.554685e-02   4.434405e-10   1.702990e-10   8.987129e-11   8
  1.618168e-02   3.763615e-10   2.270653e-10   4.679529e-11   24
  1.679252e-02   3.531739e-10   0.000000e+00   4.964255e-11   48
  1.795196e-02   4.202701e-10   0.000000e+00   1.848168e-10   6
  1.850445e-02   3.335796e-10   2.270653e-10   4.680090e-11   48
  1.904093e-02   3.092902e-10   2.140792e-10   3.222160e-11   36
  1.956269e-02   4.412438e-10   2.270653e-10   9.231491e-11   24
  2.007090e-02   2.597002e-10   3.211188e-10   4.464708e-11   24
  2.056655e-02   2.316713e-10   0.000000e+00   3.148050e-11   48
  2.105054e-02   3.557519e-10   3.211188e-10   5.063996e-11   24
  2.198657e-02   2.832083e-10   3.211188e-10   4.452814e-11   24
  2.243995e-02   1.929171e-10   0.000000e+00   3.157933e-11   30
  2.288435e-02   2.059904e-10   0.000000e+00   2.269013e-11   72
  2.332028e-02   2.017519e-10   3.405980e-10   4.116038e-11   32
  2.416856e-02   2.647386e-10   0.000000e+00   3.063930e-11   72
  2.458173e-02   1.621522e-10   0.000000e+00   2.371845e-11   48
  2.538790e-02   8.495880e-11   0.000000e+00   2.525589e-11   12
  2.597539e-02   1.576142e-10   1.938570e-04   1.458381e-11   96
  2.655130e-02   1.957235e-10   3.211188e-10   2.470780e-11   48
  2.692794e-02   2.340773e-10   3.633045e-10   4.098832e-11   30
  2.757421e-02   2.132987e-10   1.586779e-04   2.012305e-11   96
  2.838454e-02   1.263615e-10   0.000000e+00   2.399318e-11   24
  2.885327e-02   1.754222e-10   1.642099e-04   1.418123e-11   144
  2.942972e-02   1.208801e-10   5.561942e-10   2.966803e-11   24
  3.002225e-02   1.787571e-10   1.456630e-04   2.035128e-11   96
  3.043903e-02   1.567601e-10   0.000000e+00   2.413095e-11   48
  3.137435e-02   1.891263e-10   1.080207e-04   2.144693e-11   62
  3.184971e-02   1.363647e-10   1.519035e-04   1.637258e-11   132
  3.236335e-02   8.925956e-11   4.541306e-10   1.590464e-11   24
  3.284837e-02   1.393265e-10   1.518246e-04   1.179559e-11   168
  3.373431e-02   1.596026e-10   1.492698e-04   1.332797e-11   96
  3.439955e-02   1.073744e-10   1.270423e-04   1.015532e-11   96
  3.521583e-02   1.104337e-10   1.416056e-04   9.100156e-12   168
  3.590392e-02   1.537375e-10   0.000000e+00   6.747965e-11   6
  3.618333e-02   1.217509e-10   0.000000e+00   1.187690e-11   96
  3.651563e-02   1.158444e-10   1.100713e-04   1.141583e-11   120
  3.718966e-02   9.187396e-11   1.278125e-04   7.226839e-12   144
  3.754921e-02   1.038882e-10   0.000000e+00   1.402182e-11   48
  3.823245e-02   9.255175e-11   1.304211e-04   9.909902e-12   84
  3.860715e-02   1.014408e-10   8.899106e-10   9.083071e-12   120
  3.894461e-02   7.760673e-11   1.183479e-04   8.903640e-12   80
  3.946692e-02   7.318079e-11   1.201620e-04   5.363604e-12   144
