# power spectrum of pi_k * H (dimensionless)
# redshift z=19.720714
# k              Pk             sigma(k)       sigma(Pk)      count
  4.487990e-03   1.535098e-10   0.000000e+00   6.187905e-11   6
  6.346976e-03   9.199055e-11   0.000000e+00   1.836125e-11   12
  7.773426e-03   6.994178e-11   8.514949e-11   1.424068e-11   8
  8.975979e-03   2.349351e-10   0.000000e+00   2.527483e-11   6
  1.003545e-02   1.640243e-10   1.605594e-10   5.228614e-11   24
  1.099328e-02   2.349065e-10   1.605594e-10   3.958588e-11   24
  1.269395e-02   1.049810e-10   0.000000e+00   4.723881e-11   12
  1.346397e-02   1.218519e-10   1.816523e-10   2.240956e-11   30
  1.419227e-02   1.530535e-10   0.000000e+00   3.372672e-11   24
  1.488498e-02   1.393236e-10   2.780971e-10   3.454940e-11   24
  1.554685e-02   1.619082e-10   1.702990e-10   3.281324e-11   8
  1.618168e-02   1.373895e-10   2.270653e-10   1.708205e-11   24
  1.679252e-02   1.289423e-10   0.000000e+00   1.812427e-11   48
  1.795196e-02   1.533459e-10   0.000000e+00   6.743455e-11   6
  1.850445e-02   1.217796e-10   2.270653e-10   1.708708e-11   48
  1.904093e-02   1.129055e-10   2.140792e-10   1.176136e-11   36
  1.956269e-02   1.611537e-10   2.270653e-10   3.371557e-11   24
  2.007090e-02   9.481697e-11   3.211188e-10   1.630098e-11   24
  2.056655e-02   8.459540e-11   0.000000e+00   1.149522e-11   48
  2.105054e-02   1.299744e-10   3.211188e-10   1.850156e-11   24
  2.198657e-02   1.034506e-10   3.211188e-10   1.626512e-11   24
  2.243995e-02   7.046702e-11   0.000000e+00   1.153527e-11   30
  2.288435e-02   7.523539e-11   0.000000e+00   8.288688e-12   72
  2.332028e-02   7.365016e-11   3.405980e-10   1.502396e-11   32
  2.416856e-02   9.673134e-11   0.000000e+00   1.119698e-11   72
  2.458173e-02   5.921228e-11   0.000000e+00   8.661035e-12   48
  2.538790e-02   3.104577e-11   0.000000e+00   9.229414e-12   12
  2.597539e-02   5.759874e-11   1.938570e-04   5.329430e-12   96
  2.655130e-02   7.151462e-11   3.211188e-10   9.027837e-12   48
  2.692794e-02   8.554685e-11   3.633045e-10   1.498071e-11   30
  2.757421e-02   7.789915e-11   1.586779e-04   7.346233e-12   96
  2.838454e-02   4.613778e-11   0.000000e+00   8.760711e-12   24
  2.885327e-02   6.412180e-11   1.642099e-04   5.184835e-12   144
  2.942972e-02   4.420466e-11   5.561942e-10   1.084943e-11   24
