### The result of the verage over time 
### d tau = 0.015036
### number of kessence update = 10
### initial time = 0.642702
### 1- tau	2- pi_k(x)	3-zeta(x)	 4-x
 0.642702	        0	        0	 (32 , 32 , 32) 
 0.657738	1.93065e-07	        0	 (32 , 32 , 32) 
 0.673084	3.89083e-07	        0	 (32 , 32 , 32) 
 0.688744	5.77958e-07	        0	 (32 , 32 , 32) 
 0.704726	7.62506e-07	        0	 (32 , 32 , 32) 
 0.721035	9.43172e-07	        0	 (32 , 32 , 32) 
 0.737679	1.12026e-06	        0	 (32 , 32 , 32) 
 0.754663	1.29404e-06	        0	 (32 , 32 , 32) 
 0.771995	1.46478e-06	        0	 (32 , 32 , 32) 
  0.78968	1.6327e-06	        0	 (32 , 32 , 32) 
 0.807727	1.79805e-06	        0	 (32 , 32 , 32) 
 0.826142	1.96103e-06	        0	 (32 , 32 , 32) 
 0.844932	2.12185e-06	        0	 (32 , 32 , 32) 
 0.864104	2.28071e-06	        0	 (32 , 32 , 32) 
 0.883667	2.43779e-06	        0	 (32 , 32 , 32) 
 0.903628	2.59327e-06	        0	 (32 , 32 , 32) 
 0.923995	2.74733e-06	        0	 (32 , 32 , 32) 
 0.944775	2.90011e-06	        0	 (32 , 32 , 32) 
 0.965978	3.05179e-06	        0	 (32 , 32 , 32) 
  0.98761	3.2025e-06	        0	 (32 , 32 , 32) 
  1.00968	3.3524e-06	        0	 (32 , 32 , 32) 
   1.0322	3.50162e-06	        0	 (32 , 32 , 32) 
  1.05517	3.65029e-06	        0	 (32 , 32 , 32) 
  1.07861	3.79854e-06	        0	 (32 , 32 , 32) 
  1.10253	3.94651e-06	        0	 (32 , 32 , 32) 
  1.12693	4.0943e-06	        0	 (32 , 32 , 32) 
  1.15182	4.24205e-06	        0	 (32 , 32 , 32) 
  1.17721	4.38985e-06	        0	 (32 , 32 , 32) 
  1.20312	4.53784e-06	        0	 (32 , 32 , 32) 
  1.22955	4.68611e-06	        0	 (32 , 32 , 32) 
  1.25651	4.83477e-06	        0	 (32 , 32 , 32) 
  1.28402	4.98393e-06	        0	 (32 , 32 , 32) 
  1.31208	5.13369e-06	        0	 (32 , 32 , 32) 
  1.34071	5.28416e-06	        0	 (32 , 32 , 32) 
  1.36991	5.43543e-06	        0	 (32 , 32 , 32) 
   1.3997	5.5876e-06	        0	 (32 , 32 , 32) 
  1.43009	5.74077e-06	        0	 (32 , 32 , 32) 
   1.4611	5.89503e-06	        0	 (32 , 32 , 32) 
  1.49273	6.05048e-06	        0	 (32 , 32 , 32) 
  1.52499	6.20721e-06	        0	 (32 , 32 , 32) 
   1.5579	6.36531e-06	        0	 (32 , 32 , 32) 
