# power spectrum of pi_k * H (dimensionless)
# redshift z=48.519783
# k              Pk             sigma(k)       sigma(Pk)      count
  4.487990e-03   8.150372e-11   0.000000e+00   3.285338e-11   6
  6.346976e-03   4.869266e-11   0.000000e+00   9.719685e-12   12
  7.773426e-03   3.701464e-11   8.514949e-11   7.535069e-12   8
  8.975979e-03   1.241862e-10   0.000000e+00   1.336228e-11   6
  1.003545e-02   8.679281e-11   1.605594e-10   2.766827e-11   24
  1.099328e-02   1.244302e-10   1.605594e-10   2.096597e-11   24
  1.269395e-02   5.565284e-11   0.000000e+00   2.504749e-11   12
  1.346397e-02   6.464796e-11   1.816523e-10   1.189834e-11   30
  1.419227e-02   8.106291e-11   0.000000e+00   1.786364e-11   24
  1.488498e-02   7.388952e-11   2.780971e-10   1.831852e-11   24
  1.554685e-02   8.603424e-11   1.702990e-10   1.743702e-11   8
  1.618168e-02   7.292714e-11   2.270653e-10   9.062834e-12   24
  1.679252e-02   6.849508e-11   0.000000e+00   9.626390e-12   48
  1.795196e-02   8.120258e-11   0.000000e+00   3.570466e-11   6
  1.850445e-02   6.467145e-11   2.270653e-10   9.076393e-12   48
  1.904093e-02   5.992321e-11   2.140792e-10   6.237915e-12   36
  1.956269e-02   8.576111e-11   2.270653e-10   1.793698e-11   24
  2.007090e-02   5.036549e-11   3.211188e-10   8.666125e-12   24
  2.056655e-02   4.496776e-11   0.000000e+00   6.113007e-12   48
  2.105054e-02   6.933865e-11   3.211188e-10   9.870313e-12   24
  2.198657e-02   5.508257e-11   3.211188e-10   8.662174e-12   24
  2.243995e-02   3.754391e-11   0.000000e+00   6.144931e-12   30
  2.288435e-02   4.003850e-11   0.000000e+00   4.415691e-12   72
  2.332028e-02   3.909290e-11   3.405980e-10   7.968178e-12   32
  2.416856e-02   5.160522e-11   0.000000e+00   5.977944e-12   72
  2.458173e-02   3.148458e-11   0.000000e+00   4.603856e-12   48
  2.538790e-02   1.657702e-11   0.000000e+00   4.930212e-12   12
  2.597539e-02   3.075504e-11   1.938570e-04   2.846373e-12   96
  2.655130e-02   3.816986e-11   3.211188e-10   4.816856e-12   48
  2.692794e-02   4.569957e-11   3.633045e-10   8.006454e-12   30
  2.757421e-02   4.143817e-11   1.586779e-04   3.899450e-12   96
  2.838454e-02   2.453538e-11   0.000000e+00   4.657985e-12   24
  2.885327e-02   3.429216e-11   1.642099e-04   2.776228e-12   144
  2.942972e-02   2.369082e-11   5.561942e-10   5.816954e-12   24
  3.002225e-02   3.496804e-11   1.456630e-04   3.984882e-12   96
  3.043903e-02   3.057062e-11   0.000000e+00   4.705622e-12   48
  3.137435e-02   3.694639e-11   1.080207e-04   4.177695e-12   62
  3.184971e-02   2.669379e-11   1.519035e-04   3.216713e-12   132
  3.236335e-02   1.746626e-11   4.541306e-10   3.113869e-12   24
  3.284837e-02   2.723640e-11   1.518246e-04   2.308344e-12   168
  3.373431e-02   3.134322e-11   1.492698e-04   2.618518e-12   96
  3.439955e-02   2.101846e-11   1.270423e-04   1.985624e-12   96
  3.521583e-02   2.171081e-11   1.416056e-04   1.789566e-12   168
  3.590392e-02   2.967962e-11   0.000000e+00   1.304016e-11   6
  3.618333e-02   2.386941e-11   0.000000e+00   2.320151e-12   96
  3.651563e-02   2.272132e-11   1.100713e-04   2.239120e-12   120
  3.718966e-02   1.799578e-11   1.278125e-04   1.419383e-12   144
  3.754921e-02   2.058723e-11   0.000000e+00   2.775603e-12   48
  3.823245e-02   1.817987e-11   1.304211e-04   1.954473e-12   84
  3.860715e-02   1.994955e-11   8.899106e-10   1.788286e-12   120
  3.894461e-02   1.532657e-11   1.183479e-04   1.758752e-12   80
  3.946692e-02   1.445019e-11   1.201620e-04   1.059665e-12   144
  4.014180e-02   1.809988e-11   6.422377e-10   3.357720e-12   24
  4.047145e-02   1.970766e-11   1.159510e-04   1.644913e-12   150
  4.098576e-02   1.758963e-11   1.203057e-04   1.284667e-12   120
  4.155056e-02   1.584628e-11   1.096333e-04   1.341951e-12   168
  4.210107e-02   2.314844e-11   6.422377e-10   3.869654e-12   24
  4.244743e-02   1.364601e-11   1.181082e-04   8.660628e-13   264
  4.281269e-02   1.087855e-11   6.422377e-10   1.525002e-12   48
  4.343532e-02   1.392059e-11   1.093985e-04   1.145535e-12   144
  4.412543e-02   1.680504e-11   1.076845e-04   2.049117e-12   72
  4.451927e-02   1.328221e-11   1.107671e-04   8.472435e-13   180
