# power spectrum of zeta (dimensionless)
# redshift z=19.720714
# k              Pk             sigma(k)       sigma(Pk)      count
  4.487990e-03   0.000000e+00   0.000000e+00   0.000000e+00   6
  6.346976e-03   0.000000e+00   0.000000e+00   0.000000e+00   12
  7.773426e-03   0.000000e+00   8.514949e-11   0.000000e+00   8
  8.975979e-03   0.000000e+00   0.000000e+00   0.000000e+00   6
  1.003545e-02   0.000000e+00   1.605594e-10   0.000000e+00   24
  1.099328e-02   0.000000e+00   1.605594e-10   0.000000e+00   24
  1.269395e-02   0.000000e+00   0.000000e+00   0.000000e+00   12
  1.346397e-02   0.000000e+00   1.816523e-10   0.000000e+00   30
  1.419227e-02   0.000000e+00   0.000000e+00   0.000000e+00   24
  1.488498e-02   0.000000e+00   2.780971e-10   0.000000e+00   24
  1.554685e-02   0.000000e+00   1.702990e-10   0.000000e+00   8
  1.618168e-02   0.000000e+00   2.270653e-10   0.000000e+00   24
  1.679252e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  1.795196e-02   0.000000e+00   0.000000e+00   0.000000e+00   6
  1.850445e-02   0.000000e+00   2.270653e-10   0.000000e+00   48
  1.904093e-02   0.000000e+00   2.140792e-10   0.000000e+00   36
  1.956269e-02   0.000000e+00   2.270653e-10   0.000000e+00   24
  2.007090e-02   0.000000e+00   3.211188e-10   0.000000e+00   24
  2.056655e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  2.105054e-02   0.000000e+00   3.211188e-10   0.000000e+00   24
  2.198657e-02   0.000000e+00   3.211188e-10   0.000000e+00   24
  2.243995e-02   0.000000e+00   0.000000e+00   0.000000e+00   30
  2.288435e-02   0.000000e+00   0.000000e+00   0.000000e+00   72
  2.332028e-02   0.000000e+00   3.405980e-10   0.000000e+00   32
  2.416856e-02   0.000000e+00   0.000000e+00   0.000000e+00   72
  2.458173e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  2.538790e-02   0.000000e+00   0.000000e+00   0.000000e+00   12
  2.578154e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  2.616925e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  2.655130e-02   0.000000e+00   3.211188e-10   0.000000e+00   48
  2.692794e-02   0.000000e+00   3.633045e-10   0.000000e+00   30
  2.729937e-02   0.000000e+00   0.000000e+00   0.000000e+00   24
  2.766583e-02   0.000000e+00   6.769780e-10   0.000000e+00   72
  2.838454e-02   0.000000e+00   0.000000e+00   0.000000e+00   24
  2.873715e-02   0.000000e+00   0.000000e+00   0.000000e+00   96
  2.908550e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  2.942972e-02   0.000000e+00   5.561942e-10   0.000000e+00   24
  2.976995e-02   0.000000e+00   5.561942e-10   0.000000e+00   24
  3.010635e-02   0.000000e+00   0.000000e+00   0.000000e+00   72
  3.043903e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  3.109370e-02   0.000000e+00   3.405980e-10   0.000000e+00   8
  3.141593e-02   0.000000e+00   4.036717e-10   0.000000e+00   54
  3.173488e-02   0.000000e+00   0.000000e+00   0.000000e+00   84
  3.205066e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  3.236335e-02   0.000000e+00   4.541306e-10   0.000000e+00   24
  3.267306e-02   0.000000e+00   6.055075e-10   0.000000e+00   72
  3.297985e-02   0.000000e+00   0.000000e+00   0.000000e+00   96
  3.358504e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  3.388358e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  3.417951e-02   0.000000e+00   0.000000e+00   0.000000e+00   24
  3.447290e-02   0.000000e+00   0.000000e+00   0.000000e+00   72
  3.505232e-02   0.000000e+00   0.000000e+00   0.000000e+00   72
  3.533846e-02   0.000000e+00   0.000000e+00   0.000000e+00   96
  3.590392e-02   0.000000e+00   0.000000e+00   0.000000e+00   6
  3.618333e-02   0.000000e+00   0.000000e+00   0.000000e+00   96
  3.646060e-02   0.000000e+00   4.541306e-10   0.000000e+00   96
  3.673578e-02   0.000000e+00   0.000000e+00   0.000000e+00   24
  3.700891e-02   0.000000e+00   4.541306e-10   0.000000e+00   48
  3.728004e-02   0.000000e+00   0.000000e+00   0.000000e+00   96
  3.754921e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  3.808185e-02   0.000000e+00   4.281585e-10   0.000000e+00   36
  3.834540e-02   0.000000e+00   7.865773e-10   0.000000e+00   48
  3.860715e-02   0.000000e+00   8.899106e-10   0.000000e+00   120
  3.886713e-02   0.000000e+00   0.000000e+00   0.000000e+00   56
  3.912539e-02   0.000000e+00   4.541306e-10   0.000000e+00   24
  3.938195e-02   0.000000e+00   0.000000e+00   0.000000e+00   96
  3.963685e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  4.014180e-02   0.000000e+00   6.422377e-10   0.000000e+00   24
  4.039191e-02   0.000000e+00   0.000000e+00   0.000000e+00   102
  4.064047e-02   0.000000e+00   4.541306e-10   0.000000e+00   48
  4.088753e-02   0.000000e+00   0.000000e+00   0.000000e+00   72
  4.113310e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  4.137722e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  4.161990e-02   0.000000e+00   1.027580e-09   0.000000e+00   120
  4.210107e-02   0.000000e+00   6.422377e-10   0.000000e+00   24
  4.233961e-02   0.000000e+00   6.055075e-10   0.000000e+00   144
  4.257681e-02   0.000000e+00   7.266090e-10   0.000000e+00   120
  4.281269e-02   0.000000e+00   6.422377e-10   0.000000e+00   48
  4.328060e-02   0.000000e+00   6.422377e-10   0.000000e+00   48
  4.351267e-02   0.000000e+00   6.422377e-10   0.000000e+00   96
  4.412543e-02   0.000000e+00   1.076845e-04   0.000000e+00   72
  4.442883e-02   0.000000e+00   5.708779e-10   0.000000e+00   108
  4.465493e-02   0.000000e+00   0.000000e+00   0.000000e+00   72
  4.487990e-02   0.000000e+00   0.000000e+00   0.000000e+00   30
  4.510374e-02   0.000000e+00   0.000000e+00   0.000000e+00   168
  4.532647e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  4.576869e-02   0.000000e+00   0.000000e+00   0.000000e+00   72
  4.598821e-02   0.000000e+00   0.000000e+00   0.000000e+00   96
  4.620668e-02   0.000000e+00   1.211015e-09   0.000000e+00   72
  4.642412e-02   0.000000e+00   0.000000e+00   0.000000e+00   72
  4.678970e-02   0.000000e+00   9.942967e-05   0.000000e+00   104
  4.707043e-02   0.000000e+00   8.563169e-10   0.000000e+00   144
  4.770798e-02   0.000000e+00   1.436087e-09   0.000000e+00   96
  4.791862e-02   0.000000e+00   0.000000e+00   0.000000e+00   96
  4.825361e-02   0.000000e+00   1.022910e-04   0.000000e+00   120
  4.854503e-02   0.000000e+00   0.000000e+00   0.000000e+00   120
  4.875204e-02   0.000000e+00   0.000000e+00   0.000000e+00   72
  4.916346e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  4.936788e-02   0.000000e+00   1.117860e-09   0.000000e+00   78
  4.962939e-02   0.000000e+00   9.159181e-05   0.000000e+00   168
  5.017725e-02   0.000000e+00   1.048770e-09   0.000000e+00   144
  5.037756e-02   0.000000e+00   8.563169e-10   0.000000e+00   144
  5.095853e-02   0.000000e+00   5.274950e-05   0.000000e+00   156
  5.117095e-02   0.000000e+00   1.112388e-09   0.000000e+00   48
  5.136739e-02   0.000000e+00   7.266090e-10   0.000000e+00   120
  5.156307e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  5.190908e-02   0.000000e+00   8.074274e-05   0.000000e+00   216
  5.233850e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  5.253057e-02   0.000000e+00   6.422377e-10   0.000000e+00   96
  5.280366e-02   0.000000e+00   9.436050e-05   0.000000e+00   168
  5.310261e-02   0.000000e+00   6.422377e-10   0.000000e+00   48
  5.329192e-02   0.000000e+00   0.000000e+00   0.000000e+00   96
  5.348057e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  5.385587e-02   0.000000e+00   7.266090e-10   0.000000e+00   30
  5.404255e-02   0.000000e+00   0.000000e+00   0.000000e+00   96
  5.426566e-02   0.000000e+00   7.415896e-05   0.000000e+00   240
  5.455256e-02   0.000000e+00   8.000683e-05   0.000000e+00   32
  5.478289e-02   0.000000e+00   0.000000e+00   0.000000e+00   168
  5.496642e-02   0.000000e+00   0.000000e+00   0.000000e+00   120
  5.533165e-02   0.000000e+00   1.353956e-09   0.000000e+00   72
  5.551336e-02   0.000000e+00   6.055075e-10   0.000000e+00   144
  5.569449e-02   0.000000e+00   0.000000e+00   0.000000e+00   96
  5.587502e-02   0.000000e+00   0.000000e+00   0.000000e+00   96
  5.623435e-02   0.000000e+00   0.000000e+00   0.000000e+00   72
  5.641315e-02   0.000000e+00   9.082613e-10   0.000000e+00   96
  5.676908e-02   0.000000e+00   0.000000e+00   0.000000e+00   24
  5.694620e-02   0.000000e+00   0.000000e+00   0.000000e+00   192
  5.715479e-02   0.000000e+00   6.789523e-05   0.000000e+00   132
  5.747431e-02   0.000000e+00   0.000000e+00   0.000000e+00   96
  5.764927e-02   0.000000e+00   0.000000e+00   0.000000e+00   96
  5.782370e-02   0.000000e+00   7.266090e-10   0.000000e+00   120
  5.817099e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  5.845566e-02   0.000000e+00   8.228355e-05   0.000000e+00   222
  5.868808e-02   0.000000e+00   0.000000e+00   0.000000e+00   120
  5.885943e-02   0.000000e+00   1.112388e-09   0.000000e+00   24
  5.910891e-02   0.000000e+00   8.492858e-05   0.000000e+00   312
  5.965251e-02   0.000000e+00   7.962394e-05   0.000000e+00   72
  5.987725e-02   0.000000e+00   1.112388e-09   0.000000e+00   96
  6.010802e-02   0.000000e+00   8.108596e-05   0.000000e+00   192
  6.037972e-02   0.000000e+00   1.027580e-09   0.000000e+00   120
  6.054629e-02   0.000000e+00   0.000000e+00   0.000000e+00   144
  6.087805e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  6.111387e-02   0.000000e+00   8.153477e-05   0.000000e+00   336
  6.137233e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  6.169965e-02   0.000000e+00   0.000000e+00   0.000000e+00   192
  6.186267e-02   0.000000e+00   0.000000e+00   0.000000e+00   48
  6.232604e-02   0.000000e+00   5.659583e-05   0.000000e+00   56
  6.255643e-02   0.000000e+00   7.268827e-05   0.000000e+00   336
  6.283185e-02   0.000000e+00   8.073433e-10   0.000000e+00   54
  6.307177e-02   0.000000e+00   7.983781e-05   0.000000e+00   240
  6.356985e-02   0.000000e+00   7.644534e-05   0.000000e+00   228
  6.378632e-02   0.000000e+00   8.563169e-10   0.000000e+00   72
  6.399644e-02   0.000000e+00   7.415385e-05   0.000000e+00   144
  6.425823e-02   0.000000e+00   0.000000e+00   0.000000e+00   96
  6.441477e-02   0.000000e+00   1.027580e-09   0.000000e+00   240
  6.472671e-02   0.000000e+00   9.082613e-10   0.000000e+00   24
  6.492641e-02   0.000000e+00   7.003773e-05   0.000000e+00   336
  6.519181e-02   0.000000e+00   0.000000e+00   0.000000e+00   72
  6.543408e-02   0.000000e+00   7.617900e-05   0.000000e+00   168
  6.565363e-02   0.000000e+00   0.000000e+00   0.000000e+00   72
  6.595971e-02   0.000000e+00   0.000000e+00   0.000000e+00   96
  6.619675e-02   0.000000e+00   7.560752e-05   0.000000e+00   216
  6.641618e-02   0.000000e+00   0.000000e+00   0.000000e+00   96
  6.671876e-02   0.000000e+00   9.082613e-10   0.000000e+00   192
