# power spectrum of pi_k * H (dimensionless)
# redshift z=-0.029939
# k              Pk             sigma(k)       sigma(Pk)      count
  4.487990e-03   3.302443e-10   0.000000e+00   1.332093e-10   6
  6.346976e-03   1.980027e-10   0.000000e+00   3.945212e-11   12
  7.773426e-03   1.504177e-10   8.514949e-11   3.104490e-11   8
  8.975979e-03   5.048966e-10   0.000000e+00   5.403164e-11   6
  1.003545e-02   3.522880e-10   1.605594e-10   1.122056e-10   24
  1.099328e-02   5.015372e-10   1.605594e-10   8.474293e-11   24
  1.269395e-02   2.232281e-10   0.000000e+00   1.006002e-10   12
  1.346397e-02   2.586496e-10   1.816523e-10   4.683912e-11   30
  1.419227e-02   3.286391e-10   0.000000e+00   7.198385e-11   24
  1.488498e-02   2.959397e-10   2.780971e-10   7.341363e-11   24
  1.554685e-02   3.429386e-10   1.702990e-10   6.922555e-11   8
  1.618168e-02   2.930803e-10   2.270653e-10   3.651041e-11   24
  1.679252e-02   2.732310e-10   0.000000e+00   3.848844e-11   48
  1.795196e-02   3.260536e-10   0.000000e+00   1.433928e-10   6
  1.850445e-02   2.560350e-10   2.270653e-10   3.619124e-11   48
  1.904093e-02   2.403741e-10   2.140792e-10   2.533191e-11   36
  1.956269e-02   3.411351e-10   2.270653e-10   7.183804e-11   24
  2.007090e-02   2.023943e-10   3.211188e-10   3.406752e-11   24
  2.056655e-02   1.803459e-10   0.000000e+00   2.414531e-11   48
  2.105054e-02   2.683218e-10   3.211188e-10   3.847589e-11   24
  2.198657e-02   2.199449e-10   3.211188e-10   3.401032e-11   24
  2.243995e-02   1.463688e-10   0.000000e+00   2.410839e-11   30
  2.288435e-02   1.607255e-10   0.000000e+00   1.759129e-11   72
  2.332028e-02   1.561358e-10   3.405980e-10   3.213494e-11   32
  2.416856e-02   2.029547e-10   0.000000e+00   2.356704e-11   72
  2.458173e-02   1.233202e-10   0.000000e+00   1.819249e-11   48
  2.538790e-02   6.432687e-11   0.000000e+00   1.939181e-11   12
  2.597539e-02   1.211799e-10   1.938570e-04   1.096457e-11   96
  2.655130e-02   1.469160e-10   3.211188e-10   1.883579e-11   48
  2.692794e-02   1.776140e-10   3.633045e-10   3.116849e-11   30
  2.757421e-02   1.668782e-10   1.586779e-04   1.589046e-11   96
  2.838454e-02   9.257167e-11   0.000000e+00   1.834273e-11   24
  2.885327e-02   1.326767e-10   1.642099e-04   1.072082e-11   144
