# power spectrum of zeta (dimensionless)
# redshift z=-0.029939
# k              Pk             sigma(k)       sigma(Pk)      count
  4.487990e-03   1.114341e-16   0.000000e+00   3.245518e-17   6
  6.346976e-03   6.435861e-16   0.000000e+00   1.667572e-16   12
  7.773426e-03   1.856866e-15   8.514949e-11   6.539846e-16   8
  8.975979e-03   2.907587e-15   0.000000e+00   4.391816e-16   6
  1.003545e-02   2.706310e-15   1.605594e-10   4.102526e-16   24
  1.099328e-02   4.327262e-15   1.605594e-10   1.005007e-15   24
  1.269395e-02   8.922762e-15   0.000000e+00   2.393605e-15   12
  1.346397e-02   8.921263e-15   1.816523e-10   1.532885e-15   30
  1.419227e-02   6.996168e-15   0.000000e+00   1.008286e-15   24
  1.488498e-02   8.975662e-15   2.780971e-10   1.620983e-15   24
  1.554685e-02   1.952502e-14   1.702990e-10   2.727951e-15   8
  1.618168e-02   1.087149e-14   2.270653e-10   1.240629e-15   24
  1.679252e-02   1.287159e-14   0.000000e+00   1.348218e-15   48
  1.795196e-02   7.607855e-15   0.000000e+00   3.148198e-16   6
  1.850445e-02   1.642545e-14   2.270653e-10   1.930482e-15   48
  1.904093e-02   1.249936e-14   2.140792e-10   1.377556e-15   36
  1.956269e-02   1.901967e-14   2.270653e-10   3.865276e-15   24
  2.007090e-02   1.805047e-14   3.211188e-10   1.957916e-15   24
  2.056655e-02   1.876806e-14   0.000000e+00   2.748881e-15   48
  2.105054e-02   1.636436e-14   3.211188e-10   2.547536e-15   24
  2.198657e-02   2.671666e-14   3.211188e-10   3.730935e-15   24
  2.243995e-02   1.109846e-14   0.000000e+00   1.505782e-15   30
  2.288435e-02   2.060188e-14   0.000000e+00   2.530404e-15   72
  2.332028e-02   1.112759e-14   3.405980e-10   1.520153e-15   32
  2.416856e-02   1.634263e-14   0.000000e+00   1.665248e-15   72
  2.458173e-02   1.980054e-14   0.000000e+00   1.547548e-15   48
  2.538790e-02   2.988916e-14   0.000000e+00   1.007747e-14   12
  2.597539e-02   2.154490e-14   1.938570e-04   2.101745e-15   96
  2.655130e-02   2.414694e-14   3.211188e-10   2.573476e-15   48
  2.692794e-02   1.519435e-14   3.633045e-10   2.251323e-15   30
  2.757421e-02   1.981063e-14   1.586779e-04   2.431005e-15   96
  2.838454e-02   2.053846e-14   0.000000e+00   2.584784e-15   24
  2.885327e-02   2.020343e-14   1.642099e-04   1.375512e-15   144
  2.942972e-02   3.310269e-14   5.561942e-10   5.135732e-15   24
  3.002225e-02   2.621672e-14   1.456630e-04   2.721491e-15   96
  3.043903e-02   2.767383e-14   0.000000e+00   3.069787e-15   48
  3.137435e-02   2.907221e-14   1.080207e-04   3.563619e-15   62
  3.184971e-02   2.363522e-14   1.519035e-04   1.922495e-15   132
  3.236335e-02   2.360655e-14   4.541306e-10   4.153370e-15   24
  3.284837e-02   2.390401e-14   1.518246e-04   1.606944e-15   168
  3.373431e-02   2.794972e-14   1.492698e-04   2.450691e-15   96
  3.439955e-02   2.130772e-14   1.270423e-04   1.924748e-15   96
  3.521583e-02   2.491951e-14   1.416056e-04   1.879616e-15   168
  3.590392e-02   4.912413e-14   0.000000e+00   7.119194e-15   6
  3.618333e-02   2.683587e-14   0.000000e+00   2.471655e-15   96
  3.651563e-02   2.697197e-14   1.100713e-04   2.424838e-15   120
  3.718966e-02   3.006031e-14   1.278125e-04   2.545622e-15   144
  3.754921e-02   2.823751e-14   0.000000e+00   3.015513e-15   48
  3.823245e-02   2.943630e-14   1.304211e-04   2.396069e-15   84
  3.860715e-02   2.905708e-14   8.899106e-10   2.683144e-15   120
  3.894461e-02   2.399504e-14   1.183479e-04   2.795577e-15   80
  3.946692e-02   3.173194e-14   1.201620e-04   2.763595e-15   144
  4.014180e-02   2.877087e-14   6.422377e-10   4.538202e-15   24
  4.047145e-02   2.809803e-14   1.159510e-04   1.990529e-15   150
  4.098576e-02   3.169735e-14   1.203057e-04   2.969263e-15   120
  4.155056e-02   3.341088e-14   1.096333e-04   2.364995e-15   168
  4.210107e-02   3.638765e-14   6.422377e-10   5.432867e-15   24
  4.244743e-02   3.274061e-14   1.181082e-04   1.956700e-15   264
  4.281269e-02   2.541499e-14   6.422377e-10   2.498695e-15   48
  4.343532e-02   3.003971e-14   1.093985e-04   2.501507e-15   144
  4.412543e-02   2.946218e-14   1.076845e-04   3.087589e-15   72
  4.451927e-02   3.511545e-14   1.107671e-04   2.425502e-15   180
  4.506982e-02   3.002212e-14   8.025835e-05   2.183310e-15   198
  4.532647e-02   4.220395e-14   0.000000e+00   4.490454e-15   48
  4.589413e-02   3.686277e-14   1.086319e-04   2.926131e-15   168
  4.631540e-02   3.427919e-14   1.087222e-04   2.343806e-15   144
  4.695270e-02   3.391502e-14   1.527607e-04   1.838980e-15   248
  4.781330e-02   3.112916e-14   1.053161e-04   1.948116e-15   192
  4.839932e-02   3.739025e-14   1.626762e-04   2.411048e-15   240
  4.875204e-02   2.923811e-14   0.000000e+00   3.194921e-15   72
  4.929001e-02   3.121757e-14   9.927197e-05   2.798060e-15   126
  4.962939e-02   3.902475e-14   9.159181e-05   2.959155e-15   168
  5.027740e-02   3.448383e-14   1.001546e-04   1.939835e-15   288
  5.095853e-02   3.846283e-14   5.274950e-05   2.940708e-15   156
  5.131126e-02   2.821457e-14   8.873998e-05   2.354856e-15   168
  5.184617e-02   3.482710e-14   1.521290e-04   2.270822e-15   264
  5.233850e-02   3.043501e-14   0.000000e+00   3.555018e-15   48
  5.270435e-02   3.701873e-14   1.514052e-04   2.036647e-15   264
  5.322882e-02   3.617274e-14   8.924381e-05   3.109292e-15   144
  5.362492e-02   3.818439e-14   1.825884e-04   3.807792e-15   78
  5.420192e-02   3.574427e-14   1.186900e-04   1.857826e-15   336
  5.474604e-02   3.331607e-14   9.030373e-05   2.558468e-15   200
  5.510338e-02   3.532889e-14   1.768159e-04   2.506915e-15   192
  5.558581e-02   3.336581e-14   8.873069e-05   2.214780e-15   240
  5.602902e-02   3.147263e-14   1.778215e-04   2.195728e-15   168
  5.648434e-02   3.375253e-14   1.423690e-04   2.808503e-15   120
  5.703118e-02   3.307646e-14   1.112738e-04   1.761962e-15   324
  5.756179e-02   4.076090e-14   8.748012e-05   3.411323e-15   192
  5.792293e-02   3.837740e-14   1.568908e-04   3.007759e-15   168
  5.853721e-02   3.907651e-14   1.292197e-04   1.981502e-15   342
  5.909109e-02   3.947947e-14   1.040479e-04   2.174063e-15   336
  5.965251e-02   3.916470e-14   7.962394e-05   4.389646e-15   72
  6.003109e-02   3.776513e-14   1.273478e-04   2.315279e-15   288
