### The result of the maximum over time 
### d tau = 0.238644
### number of kessence update = 10
### initial time = 11.9322
### 1- tau	2- max(H pi_k)	3- max (zeta)	 4- max (phi)   
  11.9322	        0	        0	1.58092e-05
  12.1708	6.07887e-07	3.36585e-07	1.58092e-05
  12.4142	1.22512e-06	2.98836e-07	1.6579e-05
  12.6625	1.7779e-06	2.65306e-07	1.63356e-05
  12.9158	2.28926e-06	2.35517e-07	1.60889e-05
  13.1741	2.76288e-06	2.09042e-07	1.58638e-05
  13.4376	3.20172e-06	1.85503e-07	1.56593e-05
  13.7063	3.60845e-06	1.64563e-07	1.54734e-05
  13.9805	3.98555e-06	1.45926e-07	1.53043e-05
  14.2601	4.33528e-06	1.29325e-07	1.51505e-05
  14.5453	4.65971e-06	1.14527e-07	1.50108e-05
  14.8362	4.96076e-06	1.01322e-07	1.48837e-05
  15.1329	5.24019e-06	8.95252e-08	1.47679e-05
  15.4356	5.49961e-06	7.89723e-08	1.46622e-05
  15.7443	5.74052e-06	6.95171e-08	1.45657e-05
  16.0591	5.96429e-06	6.77324e-08	1.44773e-05
  16.3803	6.17229e-06	7.8749e-08	1.43964e-05
  16.7079	6.36556e-06	9.05597e-08	1.4322e-05
  17.0421	6.54517e-06	1.03322e-07	1.42535e-05
  17.3829	6.71208e-06	1.16931e-07	1.41903e-05
  17.7306	6.86721e-06	1.31396e-07	1.41317e-05
  18.0852	7.01137e-06	1.46715e-07	1.40772e-05
  18.4469	7.14532e-06	1.62846e-07	1.40263e-05
  18.8159	7.26978e-06	1.79784e-07	1.39785e-05
  19.1909	7.38499e-06	1.97463e-07	1.39357e-05
  19.5659	7.48998e-06	2.15574e-07	1.38957e-05
  19.9409	7.58582e-06	2.34081e-07	1.38586e-05
  20.3159	7.6734e-06	2.52943e-07	1.38239e-05
  20.6909	7.75354e-06	2.72508e-07	1.37914e-05
  21.0659	7.82694e-06	2.93062e-07	1.37608e-05
  21.4409	7.89423e-06	3.14063e-07	1.37318e-05
  21.8159	7.95598e-06	3.35484e-07	1.37043e-05
  22.1909	8.01318e-06	3.57298e-07	1.36778e-05
  22.5659	8.06615e-06	3.79469e-07	1.36525e-05
  22.9409	8.11495e-06	4.01957e-07	1.3628e-05
  23.3159	8.15992e-06	4.24724e-07	1.36042e-05
  23.6909	8.20138e-06	4.47732e-07	1.35811e-05
  24.0659	8.23961e-06	4.70942e-07	1.35586e-05
  24.4409	8.27487e-06	4.94319e-07	1.35364e-05
  24.8159	8.30739e-06	5.1783e-07	1.35147e-05
  25.1909	8.33738e-06	5.41447e-07	1.34933e-05
  25.5659	8.36504e-06	5.6514e-07	1.34723e-05
  25.9409	8.39053e-06	5.88879e-07	1.34515e-05
  26.3159	8.41402e-06	6.15831e-07	1.34453e-05
  26.6909	8.43564e-06	6.43129e-07	1.34602e-05
  27.0659	8.45555e-06	6.70665e-07	1.34758e-05
  27.4409	8.47384e-06	6.98377e-07	1.34919e-05
  27.8159	8.49063e-06	7.26212e-07	1.35084e-05
  28.1909	8.50604e-06	7.54123e-07	1.35255e-05
  28.5659	8.52015e-06	7.82067e-07	1.35431e-05
  28.9409	8.53304e-06	8.10006e-07	1.35612e-05
  29.3159	8.54481e-06	8.38308e-07	1.35798e-05
  29.6909	8.55552e-06	8.67634e-07	1.36039e-05
  30.0659	8.56525e-06	8.96996e-07	1.36301e-05
  30.4409	8.57405e-06	9.26352e-07	1.36572e-05
  30.8159	8.58199e-06	9.55654e-07	1.36849e-05
  31.1909	8.58911e-06	9.84858e-07	1.3713e-05
  31.5659	8.59547e-06	1.01643e-06	1.37414e-05
  31.9409	8.60111e-06	1.05283e-06	1.37703e-05
  32.3159	8.60608e-06	1.0895e-06	1.37996e-05
  32.6909	8.62041e-06	1.12637e-06	1.38301e-05
  33.0659	8.63978e-06	1.16338e-06	1.38615e-05
  33.4409	8.65883e-06	1.20049e-06	1.38937e-05
  33.8159	8.67756e-06	1.23761e-06	1.39266e-05
  34.1909	8.69597e-06	1.27468e-06	1.39604e-05
  34.5659	8.71411e-06	1.31162e-06	1.39948e-05
  34.9409	8.73198e-06	1.34831e-06	1.40298e-05
  35.3159	8.74963e-06	1.38464e-06	1.40654e-05
  35.6909	8.76706e-06	1.42049e-06	1.41014e-05
  36.0659	8.7843e-06	1.45575e-06	1.41376e-05
  36.4409	8.80137e-06	1.49113e-06	1.41745e-05
  36.8159	8.82115e-06	1.53576e-06	1.42126e-05
  37.1909	8.84173e-06	1.58034e-06	1.42516e-05
  37.5659	8.86228e-06	1.62473e-06	1.4311e-05
  37.9409	8.88282e-06	1.66884e-06	1.43746e-05
  38.3159	8.90337e-06	1.71253e-06	1.44406e-05
  38.6909	8.92396e-06	1.75569e-06	1.45091e-05
  39.0659	8.9446e-06	1.79821e-06	1.4581e-05
  39.4409	8.96533e-06	1.84067e-06	1.46563e-05
  39.8159	8.98618e-06	1.8864e-06	1.47361e-05
  40.1909	9.0072e-06	1.93144e-06	1.48209e-05
  40.5659	9.0284e-06	1.97642e-06	1.49088e-05
  40.9409	9.04982e-06	2.0349e-06	1.50002e-05
  41.3159	9.07149e-06	2.09339e-06	1.50963e-05
  41.6909	9.09343e-06	2.15169e-06	1.51994e-05
  42.0659	9.11568e-06	2.20965e-06	1.53084e-05
  42.4409	9.13824e-06	2.26707e-06	1.54203e-05
  42.8159	9.16115e-06	2.32378e-06	1.55374e-05
  43.1909	9.18441e-06	2.37959e-06	1.56623e-05
  43.5659	9.20805e-06	2.43431e-06	1.57945e-05
  43.9409	9.2321e-06	2.48775e-06	1.59319e-05
  44.3159	9.25656e-06	2.5397e-06	1.60765e-05
  44.6909	9.28146e-06	2.59343e-06	1.62296e-05
  45.0659	9.31404e-06	2.65747e-06	1.639e-05
  45.4409	9.35589e-06	2.73197e-06	1.65607e-05
  45.8159	9.39934e-06	2.80643e-06	1.67429e-05
  46.1909	9.4445e-06	2.89746e-06	1.69364e-05
  46.5659	9.49146e-06	3.00822e-06	1.71415e-05
  46.9409	9.5405e-06	3.11813e-06	1.7365e-05
  47.3159	9.5919e-06	3.22665e-06	1.76112e-05
  47.6909	9.64586e-06	3.35091e-06	1.78779e-05
  48.0659	9.70271e-06	3.50294e-06	1.81708e-05
  48.4409	9.76265e-06	3.65255e-06	1.84872e-05
  48.8159	9.82586e-06	3.79856e-06	1.88259e-05
  49.1909	9.89236e-06	3.9446e-06	1.91802e-05
  49.5659	9.96246e-06	4.13291e-06	1.95598e-05
  49.9409	1.00361e-05	4.32196e-06	1.99556e-05
  50.3159	1.01136e-05	4.51073e-06	2.03777e-05
  50.6909	1.01952e-05	4.69813e-06	2.08284e-05
  51.0659	1.02809e-05	4.88298e-06	2.13021e-05
  51.4409	1.03707e-05	5.06403e-06	2.17894e-05
  51.8159	1.04637e-05	 5.24e-06	2.2259e-05
  52.1909	1.05603e-05	5.50251e-06	2.27498e-05
  52.5659	1.06604e-05	5.80617e-06	2.32553e-05
  52.9409	1.07631e-05	6.10728e-06	2.37343e-05
  53.3159	1.08665e-05	6.40336e-06	2.4133e-05
  53.6909	1.09699e-05	6.69184e-06	2.44818e-05
  54.0659	1.10724e-05	6.97006e-06	2.47793e-05
  54.4409	1.11727e-05	7.23537e-06	2.50186e-05
  54.8159	1.12704e-05	7.71441e-06	2.52199e-05
  55.1909	1.13643e-05	8.37561e-06	2.53775e-05
  55.5659	1.14526e-05	9.06668e-06	2.54405e-05
  55.9409	1.15345e-05	9.78281e-06	2.54573e-05
  56.3159	1.16092e-05	1.05181e-05	2.54482e-05
  56.6909	1.16753e-05	1.12656e-05	2.58968e-05
  57.0659	1.17322e-05	1.2017e-05	2.62697e-05
  57.4409	1.17781e-05	1.2763e-05	2.66004e-05
  57.8159	1.18115e-05	1.3493e-05	2.69041e-05
  58.1909	1.18311e-05	1.44192e-05	2.72192e-05
  58.5659	1.1865e-05	1.55994e-05	2.75145e-05
  58.9409	1.19711e-05	1.68291e-05	2.77582e-05
  59.3159	1.20747e-05	1.81555e-05	2.79108e-05
  59.6909	1.21738e-05	1.99433e-05	2.79447e-05
  60.0659	1.22682e-05	2.18054e-05	2.79133e-05
  60.4409	1.23581e-05	2.37233e-05	2.78803e-05
  60.8159	1.24426e-05	2.5674e-05	2.78055e-05
  61.1909	1.25211e-05	2.76299e-05	2.77092e-05
  61.5659	1.25921e-05	2.95598e-05	2.79552e-05
  61.9409	1.26537e-05	3.14294e-05	2.80171e-05
  62.3159	1.27045e-05	3.32028e-05	2.85189e-05
  62.6909	1.27427e-05	3.48455e-05	2.9463e-05
  63.0659	1.27655e-05	3.63263e-05	3.03265e-05
  63.4409	1.27699e-05	4.03392e-05	3.11327e-05
  63.8159	1.27522e-05	4.49131e-05	3.18474e-05
  64.1909	1.27071e-05	5.01951e-05	3.24223e-05
  64.5659	1.26284e-05	5.58159e-05	3.28221e-05
  64.9409	1.25088e-05	6.17298e-05	3.30102e-05
  65.3159	1.23397e-05	6.78735e-05	3.30964e-05
  65.6909	1.22186e-05	7.41649e-05	3.31884e-05
  66.0659	1.22479e-05	8.05025e-05	3.33338e-05
  66.4409	1.22561e-05	8.67671e-05	3.34457e-05
  66.8159	1.2237e-05	9.2826e-05	3.35414e-05
  67.1909	1.21983e-05	9.85398e-05	3.3576e-05
  67.5659	1.22614e-05	0.000103774	3.34857e-05
  67.9409	1.23153e-05	0.000108415	3.42984e-05
  68.3159	1.2357e-05	0.000118428	3.52299e-05
  68.6909	1.23837e-05	0.000141197	3.60905e-05
  69.0659	1.23932e-05	0.000166385	3.68215e-05
  69.4409	1.23834e-05	0.000193583	3.74724e-05
  69.8159	1.23912e-05	0.000222106	3.80733e-05
  70.1909	1.24764e-05	0.000250936	3.8563e-05
  70.5659	1.25654e-05	0.000278694	3.89485e-05
  70.9409	1.26571e-05	0.000303643	3.92102e-05
  71.3159	1.2751e-05	0.000323802	3.92531e-05
  71.6909	1.31124e-05	0.000337212	3.90586e-05
  72.0659	1.62484e-05	0.000418366	3.87625e-05
  72.4409	1.93284e-05	0.000512976	3.83755e-05
  72.8159	2.22848e-05	0.000617404	3.79507e-05
  73.1909	2.51069e-05	0.000772787	3.75005e-05
  73.5659	2.92982e-05	0.00100993	3.70492e-05
  73.9409	3.71378e-05	0.00143926	3.6616e-05
  74.3159	4.72186e-05	0.00204015	3.61692e-05
  74.6909	6.83597e-05	0.00282626	3.58421e-05
  75.0659	9.48957e-05	0.00572202	3.55594e-05
  75.4409	0.000149234	0.0103871	3.52824e-05
  75.8159	0.000275728	 0.014957	3.50591e-05
  76.1909	0.000423555	0.0376687	3.49043e-05
  76.5659	0.000869567	 0.106764	3.47499e-05
  76.9409	0.00326917	 0.982157	3.45436e-05
  77.3159	 0.773759	  699.894	3.44954e-05
  77.6909	      inf	      inf	3.45644e-05
  78.0659	      inf	      inf	3.4693e-05
  78.4409	      inf	      inf	3.49051e-05
  78.8159	      inf	      inf	3.51246e-05
  79.1909	      inf	      inf	3.5315e-05
  79.5659	      inf	      inf	3.54887e-05
  79.9409	      inf	      inf	3.58349e-05
  80.3159	      inf	      inf	3.68383e-05
  80.6909	      inf	      inf	3.79138e-05
  81.0659	      inf	      inf	3.89407e-05
  81.4409	      inf	      inf	3.98556e-05
  81.8159	      inf	      inf	4.06632e-05
  82.1909	      inf	      inf	4.13417e-05
  82.5659	      inf	      inf	4.18468e-05
  82.9409	        0	        0	4.21592e-05
  83.3159	        0	        0	4.22697e-05
  83.6909	        0	        0	4.21056e-05
  84.0659	        0	        0	4.17253e-05
  84.4409	        0	        0	4.1091e-05
  84.8159	        0	        0	4.03581e-05
  85.1909	        0	        0	4.0173e-05
  85.5659	        0	        0	4.00396e-05
  85.9409	        0	        0	3.98194e-05
  86.3159	        0	        0	3.95856e-05
  86.6909	        0	        0	3.94236e-05
  87.0659	        0	        0	3.95258e-05
  87.4409	        0	        0	3.95343e-05
  87.8159	        0	        0	3.95012e-05
  88.1909	        0	        0	3.95163e-05
  88.5659	        0	        0	3.99485e-05
  88.9409	        0	        0	4.04037e-05
  89.3159	        0	        0	4.0869e-05
  89.6909	        0	        0	4.13299e-05
  90.0659	        0	        0	4.17498e-05
  90.4409	        0	        0	4.21507e-05
  90.8159	        0	        0	4.25023e-05
  91.1909	        0	        0	4.28279e-05
  91.5659	        0	        0	4.31562e-05
  91.9409	        0	        0	4.35273e-05
  92.3159	        0	        0	4.39211e-05
  92.6909	        0	        0	4.43131e-05
  93.0659	        0	        0	4.47359e-05
  93.4409	        0	        0	4.514e-05
  93.8159	        0	        0	4.54925e-05
  94.1909	        0	        0	4.57967e-05
  94.5659	        0	        0	4.5985e-05
  94.9409	        0	        0	4.59893e-05
  95.3159	        0	        0	4.5774e-05
  95.6909	        0	        0	4.53558e-05
  96.0659	        0	        0	4.48881e-05
  96.4409	        0	        0	4.4406e-05
  96.8159	        0	        0	4.39634e-05
  97.1909	        0	        0	4.3546e-05
  97.5659	        0	        0	4.31446e-05
  97.9409	        0	        0	4.27486e-05
  98.3159	        0	        0	4.23241e-05
  98.6909	        0	        0	4.18659e-05
  99.0659	        0	        0	4.13995e-05
  99.4409	        0	        0	4.09086e-05
  99.8159	        0	        0	4.04123e-05
  100.191	        0	        0	4.02122e-05
  100.566	        0	        0	4.0369e-05
  100.941	        0	        0	4.06641e-05
  101.316	        0	        0	4.09114e-05
  101.691	        0	        0	4.10672e-05
  102.066	        0	        0	4.11632e-05
  102.441	        0	        0	4.12313e-05
  102.816	        0	        0	4.13452e-05
  103.191	        0	        0	4.15216e-05
  103.566	        0	        0	4.17307e-05
  103.941	        0	        0	4.19074e-05
  104.316	        0	        0	4.1983e-05
  104.691	        0	        0	4.19193e-05
  105.066	        0	        0	4.16794e-05
  105.441	        0	        0	4.12854e-05
  105.816	        0	        0	4.15125e-05
  106.191	        0	        0	4.1713e-05
  106.566	        0	        0	4.20691e-05
  106.941	        0	        0	4.23948e-05
  107.316	        0	        0	4.26929e-05
  107.691	        0	        0	4.2954e-05
  108.066	        0	        0	4.31854e-05
  108.441	        0	        0	4.33598e-05
  108.816	        0	        0	4.3468e-05
  109.191	        0	        0	4.35045e-05
  109.566	        0	        0	4.34258e-05
  109.941	        0	        0	4.32433e-05
  110.316	        0	        0	4.29343e-05
  110.691	        0	        0	4.31158e-05
  111.066	        0	        0	4.33101e-05
  111.441	        0	        0	4.34625e-05
  111.816	        0	        0	4.35944e-05
  112.191	        0	        0	4.37143e-05
  112.566	        0	        0	4.38524e-05
  112.941	        0	        0	4.40169e-05
  113.316	        0	        0	4.47305e-05
  113.691	        0	        0	4.59094e-05
  114.066	        0	        0	4.69627e-05
  114.441	        0	        0	4.78343e-05
  114.816	        0	        0	4.84896e-05
  115.191	        0	        0	4.88235e-05
  115.566	        0	        0	4.87458e-05
  115.941	        0	        0	4.82901e-05
  116.316	        0	        0	4.78604e-05
  116.691	        0	        0	4.90473e-05
  117.066	        0	        0	5.02546e-05
  117.441	        0	        0	5.15138e-05
  117.816	        0	        0	5.27675e-05
  118.191	        0	        0	5.38661e-05
  118.566	        0	        0	5.46424e-05
  118.941	        0	        0	5.50258e-05
  119.316	        0	        0	5.49839e-05
  119.691	        0	        0	5.45877e-05
  120.066	        0	        0	5.39597e-05
