# power spectrum of pi_k * H (dimensionless)
# redshift z=96.078047
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-01   6.864198e-14   0.000000e+00   2.767144e-14   6
  1.777153e-01   1.771214e-14   0.000000e+00   3.535105e-15   12
  2.176559e-01   8.512164e-15   2.384186e-09   1.732609e-15   8
  2.513274e-01   2.059268e-14   0.000000e+00   2.229229e-15   6
  2.809926e-01   1.102606e-14   4.495664e-09   3.515970e-15   24
  3.078120e-01   1.273377e-14   4.495664e-09   2.147024e-15   24
  3.554306e-01   4.104595e-15   0.000000e+00   1.845869e-15   12
  3.769911e-01   4.198772e-15   5.086263e-09   7.730478e-16   30
  3.973835e-01   4.699250e-15   0.000000e+00   1.035130e-15   24
  4.167794e-01   3.852036e-15   7.786718e-09   9.571622e-16   24
  4.353118e-01   4.076408e-15   4.768372e-09   8.265040e-16   8
  4.530869e-01   3.175688e-15   6.357829e-09   3.948445e-16   24
  4.701905e-01   2.764305e-15   0.000000e+00   3.885377e-16   48
  5.026548e-01   2.815460e-15   0.000000e+00   1.233610e-15   6
  5.181247e-01   2.138810e-15   6.357829e-09   2.999457e-16   48
  5.331460e-01   1.872709e-15   5.994218e-09   1.958304e-16   36
  5.477554e-01   2.543878e-15   6.357829e-09   5.319451e-16   24
  5.619852e-01   1.416104e-15   8.991328e-09   2.434805e-16   24
  5.758634e-01   1.206089e-15   0.000000e+00   1.637134e-16   48
  5.894150e-01   1.786777e-15   8.991328e-09   2.543926e-16   24
  6.156239e-01   1.307016e-15   8.991328e-09   2.052144e-16   24
  6.283185e-01   8.578929e-16   0.000000e+00   1.404106e-16   30
  6.407617e-01   8.851319e-16   0.000000e+00   9.735497e-17   72
  6.529678e-01   8.303167e-16   9.536743e-09   1.698936e-16   32
  6.767198e-01   1.035277e-15   0.000000e+00   1.200083e-16   72
  6.882885e-01   6.127160e-16   0.000000e+00   8.930414e-17   48
  7.108613e-01   3.057320e-16   0.000000e+00   9.070583e-17   12
  7.273110e-01   5.468700e-16   5.427997e-03   5.091433e-17   96
  7.434365e-01   6.537148e-16   8.991328e-09   8.239926e-17   48
