# power spectrum of phi
# redshift z=-0.002478
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-01   3.194870e-11   0.000000e+00   1.259852e-11   6
  1.777153e-01   8.165716e-12   0.000000e+00   1.715278e-12   12
  2.176559e-01   3.208963e-12   2.384186e-09   8.327376e-13   8
  2.513274e-01   9.609746e-12   0.000000e+00   1.985433e-12   6
  2.809926e-01   5.217078e-12   4.495664e-09   1.376984e-12   24
  3.078120e-01   5.733075e-12   4.495664e-09   1.117740e-12   24
  3.554306e-01   2.361174e-12   0.000000e+00   4.779994e-13   12
  3.769911e-01   2.901122e-12   5.086263e-09   4.463962e-13   30
  3.973835e-01   1.789159e-12   0.000000e+00   3.047046e-13   24
  4.167794e-01   2.451365e-12   7.786718e-09   4.044797e-13   24
  4.353118e-01   7.752512e-13   4.768372e-09   1.386745e-13   8
  4.530869e-01   1.018309e-12   6.357829e-09   2.395599e-13   24
  4.701905e-01   1.977556e-12   0.000000e+00   3.379022e-13   48
  5.026548e-01   1.721622e-13   0.000000e+00   7.071544e-14   6
  5.181247e-01   1.404425e-12   6.357829e-09   1.803905e-13   48
  5.331460e-01   8.643882e-13   5.994218e-09   1.227630e-13   36
  5.477554e-01   1.430597e-12   6.357829e-09   2.879393e-13   24
  5.619852e-01   8.590251e-13   8.991328e-09   1.541030e-13   24
  5.758634e-01   1.309522e-12   0.000000e+00   2.274969e-13   48
  5.894150e-01   1.079314e-12   8.991328e-09   1.986452e-13   24
  6.156239e-01   7.036631e-13   8.991328e-09   1.830076e-13   24
  6.283185e-01   6.747456e-13   0.000000e+00   1.002293e-13   30
  6.407617e-01   9.385803e-13   0.000000e+00   7.762036e-14   72
  6.529678e-01   8.201106e-13   9.536743e-09   2.026683e-13   32
  6.767198e-01   7.134186e-13   0.000000e+00   8.400998e-14   72
  6.882885e-01   7.590516e-13   0.000000e+00   7.930614e-14   48
  7.108613e-01   3.529770e-13   0.000000e+00   5.062214e-14   12
  7.273110e-01   6.300262e-13   5.427997e-03   7.843258e-14   96
  7.434365e-01   6.700221e-13   8.991328e-09   7.917950e-14   48
  7.539822e-01   8.865775e-13   1.017253e-08   1.819879e-13   30
  7.720780e-01   6.644585e-13   4.442982e-03   6.122416e-14   96
  7.947671e-01   6.104731e-13   0.000000e+00   1.030020e-13   24
  8.078915e-01   5.014696e-13   4.597878e-03   4.164864e-14   144
  8.240320e-01   5.520565e-13   1.557344e-08   1.109932e-13   24
  8.406230e-01   5.444120e-13   4.078565e-03   4.825339e-14   96
  8.522927e-01   5.666861e-13   0.000000e+00   9.848719e-14   48
  8.784818e-01   3.997795e-13   3.024579e-03   5.529593e-14   62
  8.917918e-01   5.052385e-13   4.253298e-03   3.709986e-14   132
  9.061739e-01   3.714457e-13   1.271566e-08   5.707014e-14   24
  9.197543e-01   3.868630e-13   4.251090e-03   2.584662e-14   168
  9.445606e-01   3.307081e-13   4.179554e-03   3.548174e-14   96
  9.631875e-01   3.912475e-13   3.557186e-03   3.508512e-14   96
  9.860433e-01   3.397692e-13   3.964957e-03   2.380875e-14   168
  1.005310e+00   4.541862e-13   0.000000e+00   1.120647e-13   6
  1.013133e+00   3.620550e-13   0.000000e+00   3.274900e-14   96
  1.022438e+00   2.893592e-13   3.081996e-03   2.994221e-14   120
  1.041311e+00   3.098428e-13   3.578749e-03   2.426312e-14   144
  1.051378e+00   2.487568e-13   0.000000e+00   3.818948e-14   48
  1.070509e+00   3.142209e-13   3.651792e-03   3.062456e-14   84
  1.081000e+00   2.432363e-13   2.491750e-08   1.991007e-14   120
  1.090449e+00   2.836817e-13   3.313740e-03   3.165735e-14   80
  1.105074e+00   2.574636e-13   3.364535e-03   2.132798e-14   144
  1.123970e+00   3.152225e-13   1.798266e-08   8.797799e-14   24
  1.133201e+00   2.134113e-13   3.246628e-03   1.599448e-14   150
  1.147601e+00   2.025391e-13   3.368559e-03   1.630787e-14   120
  1.163416e+00   2.259289e-13   3.069733e-03   1.794312e-14   168
