### The result of the verage over time 
### d tau = 0.1875
### number of kessence update = 10
### initial time = 11.9322
### 1- tau	2- pi_k(x)	3-zeta(x)	 4-x
  11.9322	        0	        0	 (32 , 32 , 32) 
  12.1197	-8.94371e-07	3.2493e-12	 (32 , 32 , 32) 
  12.3072	-1.82978e-06	2.85228e-11	 (32 , 32 , 32) 
  12.4947	-2.70198e-06	9.65102e-11	 (32 , 32 , 32) 
  12.6822	-3.53749e-06	2.20581e-10	 (32 , 32 , 32) 
  12.8697	-4.3403e-06	4.10801e-10	 (32 , 32 , 32) 
  13.0572	-5.11287e-06	6.74081e-10	 (32 , 32 , 32) 
  13.2447	-5.85738e-06	1.01485e-09	 (32 , 32 , 32) 
  13.4322	-6.57582e-06	1.43562e-09	 (32 , 32 , 32) 
  13.6197	-7.26998e-06	1.93741e-09	 (32 , 32 , 32) 
  13.8072	-7.94152e-06	2.52014e-09	 (32 , 32 , 32) 
  13.9947	-8.59196e-06	3.18289e-09	 (32 , 32 , 32) 
  14.1822	-9.22271e-06	3.92414e-09	 (32 , 32 , 32) 
  14.3697	-9.83508e-06	4.74193e-09	 (32 , 32 , 32) 
  14.5572	-1.04303e-05	5.63395e-09	 (32 , 32 , 32) 
  14.7447	-1.10094e-05	6.59768e-09	 (32 , 32 , 32) 
  14.9322	-1.15735e-05	7.63076e-09	 (32 , 32 , 32) 
  15.1197	-1.21235e-05	8.73115e-09	 (32 , 32 , 32) 
  15.3072	-1.26602e-05	9.89694e-09	 (32 , 32 , 32) 
  15.4947	-1.31845e-05	1.11263e-08	 (32 , 32 , 32) 
  15.6822	-1.3697e-05	1.24178e-08	 (32 , 32 , 32) 
  15.8697	-1.41985e-05	1.37697e-08	 (32 , 32 , 32) 
  16.0572	-1.46895e-05	1.51803e-08	 (32 , 32 , 32) 
  16.2447	-1.51707e-05	1.66477e-08	 (32 , 32 , 32) 
  16.4322	-1.56423e-05	1.81696e-08	 (32 , 32 , 32) 
  16.6197	-1.61047e-05	1.97435e-08	 (32 , 32 , 32) 
  16.8072	-1.65585e-05	2.1368e-08	 (32 , 32 , 32) 
  16.9947	-1.7004e-05	2.30419e-08	 (32 , 32 , 32) 
