# power spectrum of phi
# redshift z=49.906283
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-01   3.823174e-11   0.000000e+00   1.541159e-11   6
  1.777153e-01   1.002913e-11   0.000000e+00   2.004387e-12   12
  2.176559e-01   4.793121e-12   2.384186e-09   9.873199e-13   8
  2.513274e-01   1.153513e-11   0.000000e+00   1.249810e-12   6
  2.809926e-01   6.215564e-12   4.495664e-09   1.978802e-12   24
  3.078120e-01   7.184248e-12   4.495664e-09   1.221639e-12   24
  3.708310e-01   2.320025e-12   9.740034e-03   4.208036e-13   42
  3.973835e-01   2.634714e-12   0.000000e+00   5.758065e-13   24
  4.167794e-01   2.181645e-12   7.786718e-09   5.407048e-13   24
  4.486432e-01   1.896770e-12   7.696839e-03   2.041223e-13   32
  4.701905e-01   1.544660e-12   0.000000e+00   2.180700e-13   48
  5.026548e-01   1.568399e-12   0.000000e+00   6.903356e-13   6
  5.245624e-01   1.126323e-12   7.433575e-03   1.081322e-13   84
  5.548703e-01   1.121733e-12   7.114891e-03   1.712169e-13   48
  5.803806e-01   7.826865e-13   6.388277e-03   7.867681e-14   72
  6.156239e-01   7.465852e-13   8.991328e-09   1.142144e-13   24
  6.371019e-01   4.928715e-13   5.669664e-03   4.544495e-14   102
  6.694115e-01   5.491821e-13   1.096246e-02   5.630324e-14   104
  6.882885e-01   3.351809e-13   0.000000e+00   4.947034e-14   48
  7.254833e-01   2.933557e-13   7.274260e-03   2.610733e-14   108
  7.474926e-01   3.872981e-13   5.130540e-03   4.116282e-14   78
  7.720780e-01   3.802915e-13   4.442982e-03   3.585520e-14   96
  8.060166e-01   2.753862e-13   6.261981e-03   2.114890e-14   168
  8.373048e-01   2.556628e-13   7.572942e-03   2.643252e-14   120
  8.522927e-01   2.349990e-13   0.000000e+00   3.522242e-14   48
  8.875381e-01   2.205756e-13   7.331812e-03   1.904491e-14   194
  9.180568e-01   1.795707e-13   5.998724e-03   1.435853e-14   192
  9.445606e-01   2.108848e-13   4.179554e-03   1.742316e-14   96
  9.631875e-01   1.380404e-13   3.557186e-03   1.296060e-14   96
