# power spectrum of zeta (dimensionless)
# redshift z=48.512538
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-01   1.619834e-17   0.000000e+00   1.677384e-18   6
  1.777153e-01   1.250310e-17   0.000000e+00   3.935194e-18   12
  2.176559e-01   9.826669e-18   2.384186e-09   7.986964e-19   8
  2.513274e-01   1.071887e-16   0.000000e+00   4.433519e-17   6
  2.809926e-01   3.704795e-17   4.495664e-09   8.915953e-18   24
  3.078120e-01   4.324792e-17   4.495664e-09   8.778603e-18   24
  3.554306e-01   6.394830e-17   0.000000e+00   1.143532e-17   12
  3.769911e-01   9.285189e-17   5.086263e-09   1.468923e-17   30
  3.973835e-01   7.024863e-17   0.000000e+00   1.197522e-17   24
  4.167794e-01   6.564924e-17   7.786718e-09   1.152371e-17   24
  4.353118e-01   8.184911e-17   4.768372e-09   1.275177e-17   8
  4.530869e-01   1.021740e-16   6.357829e-09   2.322918e-17   24
  4.701905e-01   7.314247e-17   0.000000e+00   1.231625e-17   48
  5.026548e-01   9.917438e-18   0.000000e+00   2.042460e-18   6
  5.181247e-01   7.543621e-17   6.357829e-09   1.128221e-17   48
  5.331460e-01   6.025772e-17   5.994218e-09   2.113522e-17   36
  5.477554e-01   4.556631e-17   6.357829e-09   7.059948e-18   24
  5.619852e-01   7.107635e-17   8.991328e-09   1.481087e-17   24
  5.758634e-01   8.502942e-17   0.000000e+00   1.057936e-17   48
  5.894150e-01   7.823175e-17   8.991328e-09   1.258750e-17   24
  6.156239e-01   6.677355e-17   8.991328e-09   9.726419e-18   24
  6.283185e-01   3.468209e-17   0.000000e+00   4.505369e-18   30
  6.407617e-01   7.496724e-17   0.000000e+00   8.055437e-18   72
  6.529678e-01   4.493697e-17   9.536743e-09   5.744306e-18   32
  6.767198e-01   5.392780e-17   0.000000e+00   5.461172e-18   72
  6.882885e-01   5.824718e-17   0.000000e+00   7.799878e-18   48
  7.108613e-01   6.433837e-17   0.000000e+00   9.949974e-18   12
  7.218830e-01   5.145121e-17   0.000000e+00   4.891934e-18   48
  7.327390e-01   6.779861e-17   0.000000e+00   1.044527e-17   48
  7.434365e-01   8.062061e-17   8.991328e-09   1.035732e-17   48
  7.539822e-01   7.350701e-17   1.017253e-08   1.614017e-17   30
  7.643825e-01   3.641896e-17   0.000000e+00   4.969267e-18   24
  7.746431e-01   6.174973e-17   1.895538e-08   8.185761e-18   72
  7.947671e-01   3.569107e-17   0.000000e+00   7.390688e-18   24
  8.046403e-01   4.626640e-17   0.000000e+00   4.102964e-18   96
  8.143939e-01   4.566730e-17   0.000000e+00   6.839673e-18   48
  8.240320e-01   6.847843e-17   1.557344e-08   1.218737e-17   24
  8.335587e-01   8.425720e-17   1.557344e-08   1.356683e-17   24
