# power spectrum of pi_k * H (dimensionless)
# redshift z=-0.003537
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-01   nan   0.000000e+00   0.000000e+00   6
  1.777153e-01   nan   0.000000e+00   0.000000e+00   12
  2.176559e-01   nan   2.384186e-09   0.000000e+00   8
  2.513274e-01   nan   0.000000e+00   0.000000e+00   6
  2.809926e-01   nan   4.495664e-09   0.000000e+00   24
  3.078120e-01   nan   4.495664e-09   0.000000e+00   24
  3.554306e-01   nan   0.000000e+00   0.000000e+00   12
  3.769911e-01   nan   5.086263e-09   0.000000e+00   30
  3.973835e-01   nan   0.000000e+00   0.000000e+00   24
  4.167794e-01   nan   7.786718e-09   0.000000e+00   24
  4.353118e-01   nan   4.768372e-09   0.000000e+00   8
  4.530869e-01   nan   6.357829e-09   0.000000e+00   24
  4.701905e-01   nan   0.000000e+00   0.000000e+00   48
  5.026548e-01   nan   0.000000e+00   0.000000e+00   6
  5.181247e-01   nan   6.357829e-09   0.000000e+00   48
  5.331460e-01   nan   5.994218e-09   0.000000e+00   36
  5.477554e-01   nan   6.357829e-09   0.000000e+00   24
  5.619852e-01   nan   8.991328e-09   0.000000e+00   24
  5.758634e-01   nan   0.000000e+00   0.000000e+00   48
  5.894150e-01   nan   8.991328e-09   0.000000e+00   24
  6.156239e-01   nan   8.991328e-09   0.000000e+00   24
  6.283185e-01   nan   0.000000e+00   0.000000e+00   30
  6.407617e-01   nan   0.000000e+00   0.000000e+00   72
  6.529678e-01   nan   9.536743e-09   0.000000e+00   32
  6.767198e-01   nan   0.000000e+00   0.000000e+00   72
  6.882885e-01   nan   0.000000e+00   0.000000e+00   48
  7.108613e-01   nan   0.000000e+00   0.000000e+00   12
  7.218830e-01   nan   0.000000e+00   0.000000e+00   48
  7.327390e-01   nan   0.000000e+00   0.000000e+00   48
  7.434365e-01   nan   8.991328e-09   0.000000e+00   48
  7.539822e-01   nan   1.017253e-08   0.000000e+00   30
  7.643825e-01   nan   0.000000e+00   0.000000e+00   24
  7.746431e-01   nan   1.895538e-08   0.000000e+00   72
  7.947671e-01   nan   0.000000e+00   0.000000e+00   24
  8.046403e-01   nan   0.000000e+00   0.000000e+00   96
  8.143939e-01   nan   0.000000e+00   0.000000e+00   48
  8.240320e-01   nan   1.557344e-08   0.000000e+00   24
  8.335587e-01   nan   1.557344e-08   0.000000e+00   24
  8.429778e-01   nan   0.000000e+00   0.000000e+00   72
  8.522927e-01   nan   0.000000e+00   0.000000e+00   48
  8.706237e-01   nan   9.536743e-09   0.000000e+00   8
  8.796459e-01   nan   1.130281e-08   0.000000e+00   54
  8.885766e-01   nan   0.000000e+00   0.000000e+00   84
  8.974184e-01   nan   0.000000e+00   0.000000e+00   48
  9.061739e-01   nan   1.271566e-08   0.000000e+00   24
  9.148456e-01   nan   1.695421e-08   0.000000e+00   72
  9.234359e-01   nan   0.000000e+00   0.000000e+00   96
  9.403811e-01   nan   0.000000e+00   0.000000e+00   48
  9.487402e-01   nan   0.000000e+00   0.000000e+00   48
  9.570263e-01   nan   0.000000e+00   0.000000e+00   24
  9.652412e-01   nan   0.000000e+00   0.000000e+00   72
  9.814649e-01   nan   0.000000e+00   0.000000e+00   72
  9.894770e-01   nan   0.000000e+00   0.000000e+00   96
  1.005310e+00   nan   0.000000e+00   0.000000e+00   6
  1.013133e+00   nan   0.000000e+00   0.000000e+00   96
  1.020897e+00   nan   1.271566e-08   0.000000e+00   96
  1.028602e+00   nan   0.000000e+00   0.000000e+00   24
  1.036249e+00   nan   1.271566e-08   0.000000e+00   48
  1.043841e+00   nan   0.000000e+00   0.000000e+00   96
  1.051378e+00   nan   0.000000e+00   0.000000e+00   48
  1.066292e+00   nan   1.198844e-08   0.000000e+00   36
  1.073671e+00   nan   2.202416e-08   0.000000e+00   48
  1.081000e+00   nan   2.491750e-08   0.000000e+00   120
  1.088280e+00   nan   0.000000e+00   0.000000e+00   56
  1.095511e+00   nan   1.271566e-08   0.000000e+00   24
  1.102695e+00   nan   0.000000e+00   0.000000e+00   96
  1.109832e+00   nan   0.000000e+00   0.000000e+00   48
  1.123970e+00   nan   1.798266e-08   0.000000e+00   24
  1.130973e+00   nan   0.000000e+00   0.000000e+00   102
  1.137933e+00   nan   1.271566e-08   0.000000e+00   48
  1.144851e+00   nan   0.000000e+00   0.000000e+00   72
  1.151727e+00   nan   0.000000e+00   0.000000e+00   48
  1.158562e+00   nan   0.000000e+00   0.000000e+00   48
  1.165357e+00   nan   2.877225e-08   0.000000e+00   120
  1.178830e+00   nan   1.798266e-08   0.000000e+00   24
  1.185509e+00   nan   1.695421e-08   0.000000e+00   144
  1.192151e+00   nan   2.034505e-08   0.000000e+00   120
  1.198755e+00   nan   1.798266e-08   0.000000e+00   48
  1.211857e+00   nan   1.798266e-08   0.000000e+00   48
  1.218355e+00   nan   1.798266e-08   0.000000e+00   96
  1.235512e+00   nan   3.015167e-03   0.000000e+00   72
  1.244007e+00   nan   1.598458e-08   0.000000e+00   108
  1.250338e+00   nan   0.000000e+00   0.000000e+00   72
  1.256637e+00   nan   0.000000e+00   0.000000e+00   30
